#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,arsenij-solovjev,sonar-modelbus-plugin,14,15,1248,127,561,None,None,None,None,2,15,35,127,2,6,3,10
2,ahmadzai,SEPA_GroupB,11,11,1440,70,1566,None,None,None,None,22,11,38,70,21,3,1,3
3,eidottermihi,kaffkass,6,6,1240,119,318,None,None,None,None,29,6,41,119,27,1,2,2
4,Song-InSeok,Akropolis,5,5,1270,291,301,None,None,None,None,34,5,80,291,34,1,2,2
5,ferrantourn,BiosWebMailLab2,2,2,1234,33,241,None,None,None,None,38,2,18,33,38,1,3,3
6,remenska,mCRL2_Executors,3,3,1266,140,50,None,None,None,None,42,3,87,140,42,2,6,7
7,titopez,sis325,5,5,1253,43,219,None,None,None,None,43,5,28,43,45,3,3,7
8,jasterJung,JasterEmbeddedServer,3,3,1254,41,230,None,None,None,None,49,3,38,41,49,1,2,2
9,Malow,NotDeadYet,14,14,1237,1945,2733,None,None,None,None,55,14,635,1945,52,4,10,20
10,spcs,synaps,18,18,1483,475,5357,None,None,None,None,66,18,270,475,65,2,3,5
11,eclipse,qvto,11,11,3172,4102,18501,None,None,None,None,83,11,1498,4102,84,3,3,6
12,toebbel,buschtrommel,10,10,1266,471,115,None,None,None,None,96,10,185,471,96,1,3,3
13,lihuiknight,Amoeba-for-Aladdin,1,1,1504,17,480,None,None,None,None,104,1,17,17,104,1,4,4
14,fharenheit,flamingo-mapreduce,1,1,1240,1,227,None,None,None,None,105,1,1,1,105,1,1,1
15,eclipse,cdo,22,31,3657,10491,180101,None,None,None,None,106,31,8614,10491,106,1,13,13
16,eclipse,ocl,15,17,3812,8937,44853,None,None,None,None,88,17,2523,8937,88,6,170,270
17,adagio,Design-Patterns,2,2,1233,21,18,None,None,None,None,149,2,20,21,149,1,11,11
18,Jiwan,Civilisation,6,6,1279,186,377,None,None,None,None,150,6,89,186,150,5,96,128
19,sergiobonfiglio,University,1,1,1479,4,497,None,None,None,None,156,1,4,4,156,1,2,2
20,RobotML,Athena-VLE,4,4,1264,12,69,None,None,None,None,157,4,7,12,160,1,1,1
21,RobotML,RobotML-SDK,27,27,1303,554,11489,None,None,None,None,168,27,97,554,158,2,2,3
22,Desy-extern,cs-studio,139,140,3442,22563,165718,None,None,None,None,191,140,4710,22563,191,2,4,6
23,anobin,3DMagic,1,2,1884,363,458,None,None,None,None,326,2,349,363,326,1,15,15
24,cfgonzalez,Bugzzinga,9,9,1276,152,4214,None,None,None,None,329,9,75,152,329,1,1,1
25,quad341,Conferenceware,12,12,2252,426,574,None,None,None,None,337,12,211,426,343,1,1,1
26,dplakhov,modnoemesto,15,14,1974,1823,1415,None,None,None,None,350,14,852,1823,363,2,1,2
27,Daso,UPC-POO-2012-2-M2-R31B,2,2,1248,3,89,None,None,None,None,365,2,2,3,365,1,1,1
28,llanox,Utopia,3,3,1453,51,3055,None,None,None,None,366,3,27,51,366,1,4,4
29,fgarel,myDebianInstall01,10,10,1659,279,870,None,None,None,None,372,10,131,279,372,1,2,2
30,UKirsche,UIHtmCal,1,1,1481,23,579,None,None,None,None,379,1,23,23,379,1,2,2
31,play-project,play,2,2,1254,6,31,None,None,None,None,380,2,4,6,381,1,7,7
32,cderoove,damp.ekeko.snippets,8,8,1268,628,8527,None,None,None,None,382,8,319,628,389,1,27,27
33,Viktorz08,Temp5433,1,1,1244,6,153,None,None,None,None,390,1,6,6,390,1,3,3
34,sliplow,Skyline,2,2,1243,439,443,None,None,None,None,391,2,435,439,391,2,3,4
35,ssuing8825,CoverageValiation,2,2,1259,19,547,None,None,None,None,393,2,18,19,393,1,26,26
36,AndruxaSazonov,termpy,7,7,1234,38,4,None,None,None,None,397,7,19,38,400,1,1,1
37,suggitpe,java-gui,1,1,1506,8,394,None,None,None,None,402,1,8,8,402,1,1,1
38,vipasu,BIM-IFC,1,1,1363,4,10178,None,None,None,None,403,1,4,4,403,1,1,1
39,SINTEF-9012,oryx-neffics,52,52,3085,2823,12770,None,None,None,None,416,52,444,2823,416,2,5,10
40,Mysthrill,ODMAP3D,1,1,1361,7,26,None,None,None,None,456,1,7,7,456,1,3,3
41,mychal,worcejbi,6,6,1274,108,124,None,None,None,None,458,6,56,108,459,1,4,4
42,Ashna,ShayanDent,3,3,1273,77,1514,None,None,None,None,463,3,39,77,463,1,1,1
43,tradi,TALExample,2,2,1251,6,63,None,None,None,None,467,2,5,6,467,1,1,1
44,tupilabs,tap4j,11,11,2031,406,3665,None,None,None,None,470,11,189,406,470,1,1,1
45,slipkrod,ExpenseSample,1,1,1358,9,481,None,None,None,None,479,1,9,9,479,1,2,2
46,eske,INSAWars,3,3,1244,132,292,None,None,None,None,481,3,85,132,480,1,1,1
47,Novatouch,BeProg,4,4,1269,83,62,None,None,None,None,483,4,57,83,483,3,2,4
48,Aceltis,ProjetPoo,6,6,1244,229,1804,None,None,None,None,492,6,109,229,487,1,6,6
49,ahmadnawid,NumberGame,2,2,1376,30,956,None,None,None,None,493,2,20,30,493,1,1,1
50,MauFus,PopTomatoes,2,2,1224,295,373,None,None,None,None,495,2,191,295,496,2,3,5
51,mhassanpur,cmpe235,3,3,1223,94,1305,None,None,None,None,497,3,47,94,498,1,2,2
52,mickeo4,ReferenceArchitecture,3,3,1360,20,2360,None,None,None,None,501,3,14,20,501,1,1,1
53,crm-js,crm-php,74,78,5089,41422,45554,None,None,None,None,512,78,18575,41422,512,1,1,1
54,dantheman0207,GameOGO,4,4,1222,20,306,None,None,None,None,582,4,7,20,583,1,1,1
55,bakinibilel,comtrek,7,7,1216,101,656,None,None,None,None,588,7,36,101,588,1,1,1
56,eturan,332,5,5,1273,27,702,None,None,None,None,593,5,11,27,592,1,2,2
57,letshack,ReverseEngineering,1,1,1220,1,143,None,None,None,None,597,1,1,1,597,1,1,1
58,nyJong,MDDTooling,2,2,1219,3,33,None,None,None,None,598,2,2,3,598,1,1,1
59,gabrielpolobrallard,LaboratorioFinal,1,1,1387,14,1738,None,None,None,None,600,1,14,14,600,1,1,1
60,ours001,NuitInfo,5,5,1225,23,40,None,None,None,None,602,5,16,23,602,1,1,1
61,Jer--,MyPub,7,7,1208,225,236,None,None,None,None,608,7,59,225,607,1,1,1
62,eduardouio,sln_control,6,6,1260,143,309,None,None,None,None,614,6,127,143,614,2,4,5
63,bartsipes,alchemi,13,13,4316,289,986,None,None,None,None,621,13,120,289,625,2,1,2
64,kajnelissen,AppOpenDag_BackEnd,5,5,1217,43,860,None,None,None,None,633,5,20,43,633,2,5,6
65,javiercbk,nosql-workbench,1,1,1371,12,2204,None,None,None,None,637,1,12,12,637,1,1,1
66,denizece,DENIZECE-TART,1,1,1365,3,38,None,None,None,None,638,1,3,3,638,1,3,3
67,doronfeldman,VirtualMall,2,2,1258,29,490,None,None,None,None,640,2,21,29,640,1,30,30
68,bioinfocttj,data_mining,9,9,1243,81,5096,None,None,None,None,647,9,17,81,646,1,2,2
69,Ket,PG3300-Innlevering1,3,3,1274,35,59,None,None,None,None,650,3,19,35,650,1,3,3
70,tysonista,web-boss,2,2,1246,23,433,None,None,None,None,653,2,20,23,653,1,1,1
71,ihsansolusi,DPLKBRI,3,3,1384,9,5258,None,None,None,None,657,3,5,9,656,1,2,2
72,absdk,RslSDK,2,2,1353,2,7852,None,None,None,None,658,2,1,2,659,1,1,1
73,ipa320,bride,17,17,1668,474,7537,None,None,None,None,663,17,162,474,663,1,2,2
74,dminik,voda_code,2,2,1248,64,15624,None,None,None,None,677,2,53,64,678,1,2,2
75,sasfeld,BBAW,2,2,1393,30,355,None,None,None,None,680,2,29,30,680,1,1,1
76,Kimalu,hotel,2,2,1274,33,1336,None,None,None,None,681,2,32,33,681,1,1,1
77,kasraman1000,SliceOfPie,4,4,1219,360,310,None,None,None,None,685,4,128,360,686,3,4,8
78,ghik,intobl,3,3,1265,52,1878,None,None,None,None,687,3,26,52,687,1,1,1
79,magiccash,java-opensource-study,2,2,1468,7,12970,None,None,None,None,691,2,6,7,691,1,1,1
80,Zergatul,ulHelper,1,1,1403,24,308,None,None,None,None,692,1,24,24,692,1,1,1
81,lviggiano,owner,14,15,1199,1001,2401,None,None,None,None,693,15,947,1001,693,1,7,7
82,tradi,TestAutomationFramework,2,2,1240,51,2660,None,None,None,None,467,2,50,51,467,1,90,90
83,eduardouio,ispade,4,4,1247,267,1915,None,None,None,None,708,4,173,267,708,2,12,15
84,Benllycast,Python-Interprete-Matematico-WXpython,1,1,1233,1,27,None,None,None,None,709,1,1,1,709,1,1,1
85,griffinfujioka,422-BankApplication,1,1,1248,4,25,None,None,None,None,710,1,4,4,710,1,3,3
86,tonyjt,APIDoc,1,1,1252,11,588,None,None,None,None,711,1,11,11,711,1,6,6
87,timonSchenzel,dixit,1,1,1239,7,182,None,None,None,None,712,1,7,7,712,1,1,1
88,gmol,TranslatingSysTray,2,2,1263,68,118,None,None,None,None,713,2,59,68,713,2,8,14
89,Timothep,Cells.net,1,1,1614,43,138,None,None,None,None,715,1,43,43,715,1,7,7
90,lantian2012,3DS-GuitarHero,3,3,1204,8,88,None,None,None,None,716,3,6,8,716,2,17,21
91,Uko,metamodels-support-files,1,1,1247,47,20,None,None,None,None,719,1,47,47,719,1,43,43
92,karasik,ooap,2,2,1240,36,98,None,None,None,None,720,2,35,36,720,1,27,27
93,bbalazs,userweave,1,1,1391,7,11894,None,None,None,None,722,1,7,7,722,1,1,1
94,extendev,daw,1,1,1211,34,546,None,None,None,None,723,1,34,34,723,1,2,2
95,C3S,c3s.dev,4,4,1217,39,86,None,None,None,None,725,4,25,39,727,2,3,4
96,mduduzik,flowframe,3,3,1207,409,61703,None,None,None,None,730,3,285,409,730,1,5,5
97,gmcfall,semantictools,3,3,1305,101,703,None,None,None,None,731,3,54,101,733,2,13,17
98,HB-GSI,VIP2012,2,2,1267,24,187,None,None,None,None,734,2,23,24,734,1,1,1
99,dCache,emi-builds,3,3,1240,68,111,None,None,None,None,736,3,58,68,736,1,1,1
100,housemeow,OurSecrets,4,4,1202,120,218,None,None,None,None,740,4,46,120,739,1,6,6
101,dingxinbei,Battery110Server,1,1,1239,11,77,None,None,None,None,743,1,11,11,743,1,1,1
102,SnaketriZ,snaketriz,2,2,1240,5,51,None,None,None,None,744,2,4,5,744,1,2,2
103,ClockWorkTeam,ClockWork,15,15,1215,2376,4406,None,None,None,None,751,15,572,2376,746,5,139,291
104,rusrip,Antiplagiator,1,1,1296,2,6,None,None,None,None,761,1,2,2,761,1,3,3
105,TimHarrison1260,THSurveys,1,1,1258,14,753,None,None,None,None,762,1,14,14,762,1,7,7
106,3rdstage,exercise,3,3,1246,468,16101,None,None,None,None,764,3,283,468,764,1,25,25
107,fzhenmei,MyBlog,1,1,1521,14,1774,None,None,None,None,766,1,14,14,766,1,1,1
108,DarkMaster3960,Destroids,8,8,1247,39,63,None,None,None,None,774,8,9,39,768,1,1,1
109,sthenc,rodoslovno-stablo,8,8,1209,182,367,None,None,None,None,775,8,95,182,779,2,18,23
110,cleonro,VRPMapEditorQt,2,2,1610,50,347,None,None,None,None,784,2,36,50,783,1,1,1
111,iwantc00kies,TrouverSaRoute,4,4,1212,49,220,None,None,None,None,786,4,27,49,785,1,2,2
112,dresden-ocl,dresdenocl,11,38,5800,3150,19655,None,None,None,None,812,38,977,3150,789,5,51,77
113,oliverklee,pixy,2,2,1214,152,1820,None,None,None,None,828,2,150,152,828,1,28,28
114,dave-turvey,netflow,4,4,1215,12,177,None,None,None,None,829,4,5,12,829,1,1,1
115,ryanski44,VM-Automation-Framework,1,1,1735,7,404,None,None,None,None,833,1,7,7,833,1,7,7
116,bartsipes,ElementSuite,1,1,1222,22,325,None,None,None,None,834,1,22,22,834,1,9,9
117,worklez,kedr,2,2,2401,115,135,None,None,None,None,836,2,58,115,835,1,2,2
118,Bitbored,Wake-up-Robot-Client,3,3,1427,15,106,None,None,None,None,837,3,11,15,837,1,1,1
119,jexhson,smash,2,2,1457,72,119,None,None,None,None,840,2,71,72,840,1,1,1
120,abb-iss,SrcML.NET,21,21,1356,1352,1755,None,None,None,None,842,21,840,1352,843,2,20,23
121,rafaelfonte,Computer-Graphics-Final-Work,3,3,1417,37,87,None,None,None,None,864,3,20,37,864,1,1,1
122,Djon,SDP3_UE8,4,4,1183,17,52,None,None,None,None,867,4,7,17,868,3,4,8
123,lycis,QtDropbox,11,11,1539,196,102,None,None,None,None,871,11,108,196,870,1,1,1
124,camilorivera,Analisis_Y_Dise-o_Teleton,13,13,1632,177,954,None,None,None,None,882,13,56,177,882,2,2,3
125,Waowam,MediaSharp,3,3,1184,55,111,None,None,None,None,603,3,31,55,602,2,1,2
126,DSL3S,DSL3S,2,2,1265,271,496,None,None,None,None,895,2,141,271,895,2,72,116
127,mspork,rod_uml,3,3,1238,3,3,None,None,None,None,897,3,1,3,898,2,2,3
128,kstyrc,dri-service,1,1,1235,32,399,None,None,None,None,900,1,32,32,900,1,2,2
129,LRBH10,my-Project,2,2,1236,2,4699,None,None,None,None,901,2,1,2,902,1,3,3
130,maikeps,Ghomaime,6,6,1456,46,370,None,None,None,None,907,6,18,46,907,1,1,1
131,fjorgemota,FlipNote,3,3,1420,225,395,None,None,None,None,911,3,154,225,910,1,2,2
132,njguibert,inventario,3,3,1445,6,1226,None,None,None,None,913,3,4,6,913,1,1,1
133,whughchen,realODMatrix,3,3,1182,37,58,None,None,None,None,915,3,28,37,915,1,4,4
134,escribis,megalib,2,2,1517,105,224,None,None,None,None,918,2,104,105,918,1,1,1
135,nover,dtu-02165,7,7,1183,250,2531,None,None,None,None,921,7,160,250,922,4,5,12
136,kaleucaminha,tcc,2,2,1262,7,158,None,None,None,None,927,2,6,7,927,1,2,2
137,jtitanus,AJeTo,2,2,1271,43,257,None,None,None,None,930,2,42,43,930,1,17,17
138,IdeasStorm,PhysiXLab,5,5,1885,593,146,None,None,None,None,933,5,305,593,931,3,3,5
139,henryeherman,elixys,13,13,1836,405,966,None,None,None,None,938,13,247,405,939,1,1,1
140,marekgorski,Robo,14,14,1190,93,54,None,None,None,None,950,14,28,93,950,4,4,7
141,BjarniBen,Gefumis,3,3,1394,71,548,None,None,None,None,965,3,31,71,963,2,3,5
142,1989gaurav,InternetBankingSystem,1,1,1184,2,8997,None,None,None,None,966,1,2,2,966,1,3,3
143,siarmehri,AddressBookFinal-,2,2,1406,9,147,None,None,None,None,967,2,8,9,967,1,5,5
144,xidiandaily,pkm,2,2,1630,43,46,None,None,None,None,970,2,37,43,970,1,2,2
145,SergeyTeplyakov,CrazyTalk,2,2,1806,2,94,None,None,None,None,971,2,1,2,971,1,1,1
146,chherbst,StudentManager,3,3,1434,22,53,None,None,None,None,974,3,15,22,974,1,1,1
147,pcego,SGAS,3,3,1401,148,433,None,None,None,None,977,3,83,148,978,1,3,3
148,MrJar,noodle,9,9,1251,132,4172,None,None,None,None,979,9,62,132,982,1,3,3
149,cowpig,Comp-354-Group-Project,14,14,1180,185,256,None,None,None,None,993,14,42,185,992,3,3,6
150,mattmakesmaps,PntTrax,2,2,1206,161,207,None,None,None,None,1003,2,152,161,1003,1,1,1
151,dorbacao,DDD.NET,2,2,1236,2,932,None,None,None,None,1005,2,1,2,1006,1,1,1
152,jkallunki,grtot-2012,5,5,1530,115,76,None,None,None,None,1008,5,44,115,1008,1,7,7
153,sauloo,Vendas,2,2,1445,3,62,None,None,None,None,1013,2,2,3,1012,1,1,1
154,openETCS,model-evaluation,23,23,1224,409,1247,None,None,None,None,1018,23,116,409,1016,4,2,7
155,Bilb,AG41,3,3,1395,20,25,None,None,None,None,1037,3,11,20,1037,1,1,1
156,JuanjoFuchs,SOLID,1,1,1397,3,328,None,None,None,None,1040,1,3,3,1040,1,8,8
157,whiskeysierra,banshie,4,4,1367,236,580,None,None,None,None,1042,4,225,236,1042,1,17,17
158,rpavlik,maya2osg,2,2,2067,157,304,None,None,None,None,1045,2,133,157,1045,1,1,1
159,Novatouch,ProgJava,4,4,1195,72,153,None,None,None,None,483,4,50,72,483,1,5,5
160,neural5torm,OCodeHtm,1,1,1880,30,122,None,None,None,None,1049,1,30,30,1049,1,19,19
161,xelerance,Openswan,75,100,3827,8231,12702,None,None,None,None,1070,100,2500,8231,1070,3,3,5
162,elatier,EVPool,2,2,1400,35,197,None,None,None,None,1165,2,24,35,1165,1,3,3
163,gurkerl83,millipede,1,1,2126,2,11289,None,None,None,None,1166,1,2,2,1166,1,3,3
164,ggonzalez,Culebra,3,3,2095,27,199,None,None,None,None,1169,3,23,27,1167,1,1,1
165,savi21,Proyecto-programaci-n-I,1,1,1396,2,290,None,None,None,None,1170,1,2,2,1170,1,1,1
166,sisolitm,Adequom,1,1,1103,1,52,None,None,None,None,1171,1,1,1,1171,1,1,1
167,timoteoponce,portable-AddressBook,5,5,2232,82,262,None,None,None,None,1173,5,69,82,1173,1,3,3
168,PowerKiKi,polukili,4,4,2551,148,1510,None,None,None,None,1177,4,97,148,1177,1,5,5
169,khats,Coffee,2,2,1268,8,654,None,None,None,None,1181,2,7,8,1181,1,1,1
170,sosoru,TrainUtilizingSystem,1,1,1723,1951,5457,None,None,None,None,1183,1,1951,1951,1183,1,1,1
171,jmjeong-nemus,rexy-embedded,1,1,1873,3,1520,None,None,None,None,1184,1,3,3,1184,1,1,1
172,ChristelleLacan,QuizZer,13,13,1497,94,152,None,None,None,None,1189,13,16,94,1187,2,1,2
173,zombiecalypse,JCalendar,1,1,1645,4,52,None,None,None,None,1198,1,4,4,1198,1,1,1
174,bittersweetryan,cfevernote,4,4,1804,68,1165,None,None,None,None,1199,4,57,68,1201,1,1,1
175,ObeoNetwork,Variability-Designer,1,1,1533,2,2142,None,None,None,None,1203,1,2,2,1203,1,1,1
176,happyfire,firstlight,1,1,1198,3,927,None,None,None,None,1204,1,3,3,1204,1,1,1
177,spockz,Products.Doormat,1,1,1842,8,81,None,None,None,None,1205,1,8,8,1205,1,6,6
178,PHPsrc,org.phpsrc.eclipse.pti.core,2,2,2203,74,120,None,None,None,None,1206,2,73,74,1206,1,1,1
179,swissbib,sbvf2,39,50,1384,9611,22286,None,None,None,None,1208,50,3498,9611,1213,1,2,2
180,gbaumgart,diagram-editor,1,1,1199,2,8125,None,None,None,None,1258,1,2,2,1258,1,5,5
181,Jtester2013,Jtester,4,4,1185,141,725,None,None,None,None,1260,4,70,141,1262,1,2,2
182,slytsal,nmtmdz,2,2,1172,4,1078,None,None,None,None,1263,2,3,4,1263,1,1,1
183,buzheng,buzheng-study-java,3,3,1210,111,394,None,None,None,None,1265,3,90,111,1265,1,15,15
184,nmacs,lm3s-uclinux,1,1,1397,626,183062,None,None,None,None,1268,1,626,626,1268,1,1,1
185,IsaacGonzalez,herramientas_procesos,2,2,1169,8,200,None,None,None,None,1270,2,7,8,1270,1,4,4
186,andrenho,newhope,5,5,1167,505,6186,None,None,None,None,1272,5,277,505,1272,2,54,56
187,WinToosa,mobilelogger,8,8,1177,419,1015,None,None,None,None,1277,8,181,419,1277,1,1,1
188,danwkennedy,BudgetHelper,2,2,1172,9,85,None,None,None,None,1284,2,8,9,1284,1,1,1
189,remenska,NFM,1,1,1138,13,53,None,None,None,None,1286,1,13,13,1286,1,1,1
190,crizzis,workthru,1,1,1209,81,1233,None,None,None,None,1287,1,81,81,1287,1,32,32
191,xbIm,liberum.net,1,1,1165,3,1383,None,None,None,None,1288,1,3,3,1288,1,1,1
192,maltuntas,Dice,2,2,1587,3,69,None,None,None,None,1290,2,2,3,1289,1,1,1
193,SharpCX,PDF.NET,3,3,1267,3,504,None,None,None,None,1291,3,1,3,1293,1,4,4
194,Strewya,engine,3,3,1168,365,1387,None,None,None,None,1295,3,237,365,1295,1,6,6
195,NsLib,FreeJudger,2,2,1166,137,3542,None,None,None,None,1298,2,81,137,1297,1,1,1
196,Rembau,test,1,1,1168,5,15,None,None,None,None,1299,1,5,5,1299,1,2,2
197,Heigvd,Wegas,14,16,1552,6329,44574,None,None,None,None,1300,16,1715,6329,1308,1,1,1
198,zenki2001cn,Erengine,2,2,1406,19,1379,None,None,None,None,1316,2,17,19,1316,2,2,4
199,griffinfujioka,Archive,1,1,1170,68,141,None,None,None,None,710,1,68,68,710,1,3,3
200,limitium,mera,2,2,1371,99,434,None,None,None,None,1318,2,94,99,1318,1,2,2
201,PierreZ,Jeux-de-Jongles-Visual-Studio,1,1,1162,6,187,None,None,None,None,1320,1,6,6,1320,1,1,1
202,savoir2013,savoir,2,2,1162,3,1418,None,None,None,None,1322,2,2,3,1322,1,1,1
203,zactyy,cpts323,6,6,1175,92,1247,None,None,None,None,1326,6,41,92,1326,3,92,125
204,inadram,Design-Pattern,1,1,1163,5,76,None,None,None,None,1329,1,5,5,1329,1,2,2
205,st4l,BEsharp,8,8,1392,277,528,None,None,None,None,1334,8,68,277,1337,2,32,33
206,aklaan,amikcal,2,2,1157,89,1834,None,None,None,None,1339,2,52,89,1338,2,3,6
207,c00w,BitToll,6,6,1163,566,417,None,None,None,None,1340,6,550,566,1340,1,3,3
208,fengxing,FxConfigSystem,1,1,1171,4,597,None,None,None,None,1346,1,4,4,1346,1,2,2
209,tuan3w,NodeJS,3,3,1162,14,61,None,None,None,None,1348,3,10,14,1348,1,1,1
210,jbrtdfj,unwdp.jvm.ui,2,2,1164,4,1944,None,None,None,None,1351,2,3,4,1351,1,1,1
211,mattdyer,localsite,4,4,1193,55,923,None,None,None,None,1354,4,40,55,1352,1,1,1
212,wasztemborski,dev,6,6,1162,55,1258,None,None,None,None,1356,6,26,55,1360,2,1,2
213,yongbingchen,yongbingchen.github.com,79,93,2360,764,977,None,None,None,None,1364,93,323,764,1454,1,1,1
214,hoghweed,Codebrainr.Site,1,1,1166,4,1140,None,None,None,None,1455,1,4,4,1455,1,16,16
215,SergeyTeplyakov,VerificationFakes,2,2,1180,18,140,None,None,None,None,1456,2,15,18,1456,1,7,7
216,thegodmode,thegodmode.github.com,4,4,1144,90,18820,None,None,None,None,1461,4,48,90,1459,1,6,6
217,mwojcik,SportReservation,3,3,1166,24,504,None,None,None,None,1463,3,13,24,1463,1,1,1
218,lxdfigo,SmallWorld,1,1,1273,6,142,None,None,None,None,1465,1,6,6,1465,1,1,1
219,zlphoenix,LearnCSharp,4,4,1160,60,7017,None,None,None,None,1466,4,36,60,1467,2,84,85
