#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,louisremi,todoso,1,2,2590,18,238,None,None,None,None,1,2,17,18,1,1,2,2
2,leojg,Paradise-Hotel,2,2,1504,82,313,None,None,None,None,3,2,45,82,3,1,3,3
3,jdk2pq,cs4240,3,3,1235,19,113,None,None,None,None,7,3,10,19,7,1,2,2
4,taesiri,Simulation,4,4,1263,62,1492,None,None,None,None,11,4,27,62,11,1,1,1
5,nicolabricot,Training-Day,7,7,1235,176,198,None,None,None,None,12,7,69,176,17,2,1,2
6,AmirAlmasi,GPS-Navigation-Java-,1,1,1634,6,956,None,None,None,None,19,1,6,6,19,1,1,1
7,tyll,tinyos-2.x-contrib,93,93,3416,1949,23009,None,None,None,None,22,93,527,1949,22,1,1,1
8,ahmadzai,SEPA_GroupB,11,11,1440,70,1566,None,None,None,None,119,11,38,70,116,3,3,8
9,GroupI9,IBMS,23,23,1506,93,205,None,None,None,None,143,23,10,93,143,1,3,3
10,rowboat,frameworks-base,310,516,2723,26736,26269,None,None,None,None,237,516,4188,26736,147,1,5,5
11,RzadSuperFajnych,np-one,2,2,1271,8,32,None,None,None,None,670,2,7,8,670,1,7,7
12,jdmiranda,bigJavaHeads_WarriorGame,4,4,1236,12,66,None,None,None,None,671,4,5,12,671,1,1,1
13,eidottermihi,kaffkass,6,6,1240,119,318,None,None,None,None,677,6,41,119,675,1,2,2
14,xZPFxBarteq,Breakpongoid,4,4,1239,44,24,None,None,None,None,681,4,24,44,683,1,1,1
15,bennychen,moai-based-pacman,2,2,1700,53,176,None,None,None,None,685,2,43,53,685,1,1,1
16,sayan801,DailyNoteBook,8,8,1240,134,1120,None,None,None,None,688,8,64,134,690,1,1,1
17,sayan801,ElectricSupplyCustomerManagmentSystem,8,8,1233,62,770,None,None,None,None,687,8,22,62,695,1,2,2
18,Yapko,NewShop,4,4,1249,125,158,None,None,None,None,697,4,58,125,697,1,1,1
