#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,etienne-github,GestureChallenge,3,3,1427,67,5786,None,None,None,None,1,3,62,67,1,1,1,1
2,elitecodegroovy,JRocket,3,3,1240,63,1064,None,None,None,None,4,3,46,63,4,1,2,2
3,ZsZs,ProcessPuzzleFramework,5,5,1738,138,5772,None,None,None,None,9,5,47,138,7,1,25,25
4,symfony-cmf,BlockBundle,62,61,2082,929,523,None,None,None,None,14,61,215,929,41,2,1,2
5,aullman,aullman.github.com,1,1,1685,58,495,None,None,None,None,74,1,58,58,74,1,4,4
6,hep-gc,repoman,17,17,2015,756,372,None,None,None,None,83,17,356,756,83,1,1,1
7,sbigaret,DecisionDeck-WebSite,4,4,2311,246,2003,None,None,None,None,93,4,87,246,94,3,2,4
8,dgraziotin,openpomo,7,7,2321,336,784,None,None,None,None,97,7,112,336,,0,,0
9,bieridee,bieridee-docs,5,5,1488,244,1163,None,None,None,None,103,5,85,244,105,3,13,24
10,SakuraSound,MADden,6,6,1650,116,244,None,None,None,None,109,6,65,116,109,1,1,1
11,gfranko,gfranko.github.com,61,72,2360,651,2065,None,None,None,None,116,72,301,651,184,1,1,1
12,hfutonline,xipang,5,5,1480,89,47,None,None,None,None,186,5,45,89,185,1,1,1
13,xardael,cvWebGen,6,6,1452,54,464,None,None,None,None,191,6,26,54,190,1,2,2
14,snowplow,snowplow.github.com,32,34,1395,2785,2495,None,None,None,None,200,34,979,2785,201,1,1,1
15,mozilla,webrtc,9,9,1456,131,70,None,None,None,None,236,9,38,131,236,1,2,2
16,timvdalen,OGO-2.3,10,10,1442,1126,1116,None,None,None,None,239,10,316,1126,240,1,8,8
17,ggsato,SimpleCappCore,2,2,1384,51,53,None,None,None,None,250,2,47,51,250,1,2,2
18,sebcsaba,GeoResults,1,1,1628,77,1437,None,None,None,None,251,1,77,77,251,1,34,34
19,shomah4a,trolle,4,4,1321,29,5910,None,None,None,None,253,4,18,29,254,1,1,1
20,MIPS,frameworks-base,1307,1865,2723,199631,114541,None,None,None,None,336,1865,7132,199631,256,1,5,5
21,toddfries,OpenBSD-gnu-patches,1,1,2840,159,72577,None,None,None,None,2177,1,159,159,2177,1,6,6
22,ampas,aces-dev,7,8,1706,251,7498,None,None,None,None,2180,8,192,251,2180,1,1,1
