#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,javiergra,SaladilloHeroesTeam1,10,10,1056,120,290,None,None,None,None,5,10,64,120,9,3,2,5
2,initrunlevel0,Wismatamu-UML,2,2,1056,3,1,None,None,None,None,11,2,2,3,11,2,1,2
3,Fannon,svg-generator,2,2,1324,9,101,None,None,None,None,13,2,5,9,13,1,1,1
4,openETCS,SSRS,8,8,1081,46,165,None,None,None,None,15,8,19,46,15,3,3,6
5,whypro,Scratcher,3,3,1055,18,30,None,None,None,None,24,3,13,18,24,1,1,1
6,TeddyTeddy,WebBasedPhotoAlbum,2,2,1054,2,91,None,None,None,None,26,2,1,2,27,1,1,1
7,prithvid,factory-method-design-pattern,2,2,1056,8,41,None,None,None,None,28,2,7,8,28,1,1,1
8,KevinMackenzie,asggl,2,2,1097,20,5806,None,None,None,None,31,2,17,20,31,1,46,46
9,kflu,camrec,2,2,1079,13,29,None,None,None,None,33,2,12,13,33,1,1,1
10,bruce-sha,leb,2,2,1052,11,103,None,None,None,None,35,2,6,11,34,1,1,1
11,gpickin,Coldfusion-Coldbox-Koans,2,2,1054,16,1038,None,None,None,None,37,2,10,16,37,1,1,1
12,kodjobaah1,Robot,2,2,1055,5,39,None,None,None,None,38,2,4,5,39,1,1,1
13,dynastywind,iTouchable,2,2,1054,2,510,None,None,None,None,40,2,1,2,40,1,1,1
14,egslava,Svyaznoy-Diploma,2,2,1054,22,114,None,None,None,None,43,2,21,22,43,1,2,2
15,tankle,Elfin,3,3,1065,17,314,None,None,None,None,46,3,12,17,46,1,1,1
16,fabriceleal,ImageProcessing,2,2,1654,8,295,None,None,None,None,48,2,6,8,47,1,1,1
17,Darkneon,C-Ker,3,3,1054,98,318,None,None,None,None,49,3,46,98,51,1,19,19
18,UBIOBIO-OpenSource,remusystem,2,2,1084,9,1608,None,None,None,None,53,2,8,9,53,1,1,1
19,rudywseidinger,MySetList,2,2,1054,3,91,None,None,None,None,55,2,2,3,55,1,1,1
20,NCIP,xmihandler,8,8,3555,149,210,None,None,None,None,57,8,92,149,58,3,3,6
21,NCIP,cagrid,62,62,3850,30491,149018,None,None,None,None,72,62,6455,30491,99,2,2,4
22,NCIP,cacore-sdk-pre411,16,16,3617,1510,11639,None,None,None,None,132,16,636,1510,58,4,10,18
23,jiowchern,Regulus,12,12,1051,523,2807,None,None,None,None,145,12,207,523,141,1,26,26
24,RichardHightower,datarepo,4,4,1052,152,587,None,None,None,None,150,4,119,152,152,1,2,2
25,goalfinance,goalfinance,2,2,1051,2,161,None,None,None,None,153,2,1,2,154,1,1,1
26,conxgit,oryx-editor-ant,2,2,1040,13,14141,None,None,None,None,156,2,12,13,156,1,5,5
27,BelianskyAS,WyCash,2,2,1037,10,21,None,None,None,None,157,2,8,10,158,1,1,1
28,microcom,modelSBA,2,2,1040,6,4,None,None,None,None,159,2,3,6,160,2,3,5
29,ziyangli,ziyangli.github.com,3,3,1029,18,282,None,None,None,None,162,3,8,18,163,1,2,2
30,bfarndt,gerencia_noticia,4,4,1039,29,1831,None,None,None,None,165,4,24,29,165,1,1,1
31,SysMLModelicaIntegration,edu.ufc.femtost.disc.sysml2modelica,6,6,1037,74,2601,None,None,None,None,172,6,42,74,172,1,9,9
32,sla89,WWE,7,7,1033,109,570,None,None,None,None,176,7,51,109,176,1,2,2
33,MeleeCampz,ParticleEngine,4,4,1037,88,1659,None,None,None,None,182,4,41,88,183,2,2,3
34,ncarrizales,Codigo-fuente,2,2,1040,11,374,None,None,None,None,185,2,6,11,186,1,1,1
35,dylon,umlang,1,1,1031,8,38,None,None,None,None,187,1,8,8,187,1,3,3
36,SATToSE,SoTeSoLa2012,9,9,1357,79,395,None,None,None,None,189,9,32,79,195,1,1,1
37,gazdahimself,current,2,2,1377,3,6536,None,None,None,None,198,2,2,3,197,1,1,1
38,hlavko,hexx,4,4,1012,430,553,None,None,None,None,200,4,375,430,200,1,4,4
39,genius987,antoniolb,2,2,1019,7,88,None,None,None,None,204,2,6,7,204,1,1,1
40,adityasawhney,Mongo.Framework,2,2,1017,11,177,None,None,None,None,205,2,6,11,205,1,21,21
41,ekutsenko-softheme,clouduri,3,3,1354,19,369,None,None,None,None,208,3,10,19,208,1,1,1
42,duoani,my,3,3,1017,9,110,None,None,None,None,210,3,6,9,210,2,1,2
43,Rafael-Miceli,VisitorPatternStudy,1,1,1010,6,68,None,None,None,None,213,1,6,6,213,1,1,1
44,psylocybe,alife,1,1,1235,3,65,None,None,None,None,214,1,3,3,214,1,1,1
45,wpiers,atl_transformations,2,2,1106,2,29,None,None,None,None,215,2,1,2,216,1,2,2
46,Daso,UPC-POO-2013-1-M2-R31B,3,3,1012,9,293,None,None,None,None,217,3,7,9,217,1,2,2
47,meng004,UscWeixin,3,3,999,29,347,None,None,None,None,220,3,15,29,220,2,1,2
48,askpt,ExpenseManager,2,2,1019,132,532,None,None,None,None,224,2,70,132,223,1,7,7
49,vtex,vcs.integration.samples,6,6,1106,31,427,None,None,None,None,230,6,15,31,230,1,10,10
50,gbrian,deeplinkengine,1,1,1104,6,219,None,None,None,None,231,1,6,6,231,1,1,1
51,gluedig,filemanage,3,3,1029,117,63,None,None,None,None,233,3,79,117,232,1,2,2
52,npr77,pmdb,3,3,1477,43,274,None,None,None,None,235,3,39,43,235,1,1,1
53,polygoncz,raytracer,2,2,1015,53,133,None,None,None,None,238,2,47,53,238,1,1,1
54,TeddyTeddy,MyLittleProject,1,1,1104,2,25,None,None,None,None,27,1,2,2,27,1,1,1
55,estatio,estatio,15,17,1387,1509,4849,None,None,None,None,241,17,765,1509,240,2,1,2
56,thdtjsdn,Marble-1,2,2,1104,4,3238,None,None,None,None,257,2,3,4,257,1,2,2
57,DanMoyer,BizGear,1,1,1014,6,479,None,None,None,None,259,1,6,6,259,1,6,6
58,tpkurilla,AHED,4,4,1001,10,229,None,None,None,None,260,4,5,10,260,1,1,1
59,EsriDE,Esri2011,4,4,1870,183,1059,None,None,None,None,266,4,179,183,266,1,8,8
60,sisux,group-recsys-thesis,2,2,955,13,1049,None,None,None,None,269,2,10,13,269,1,1,1
61,ecell,spatiocyte,55,54,5871,3953,2098,None,None,None,None,271,54,997,3953,300,3,5,8
62,xicalango,flatten,1,1,1006,2,12,None,None,None,None,325,1,2,2,325,1,2,2
63,adraghici,marble,133,147,3475,10603,9745,None,None,None,None,388,147,2010,10603,346,3,30,32
64,DmitryPukhov,TradeRobotics,5,5,999,111,1327,None,None,None,None,474,5,70,111,474,3,4,7
65,macbury,LevelUp,2,2,1014,9,100,None,None,None,None,478,2,8,9,478,1,2,2
66,Journeyer,wxboost,1,1,1011,14,36,None,None,None,None,480,1,14,14,480,1,2,2
67,wwwwwwbin,3DGame_Tank,1,1,1007,6,89,None,None,None,None,481,1,6,6,481,1,1,1
68,Ankurtomar,myGitRepo,2,2,1047,4,417,None,None,None,None,482,2,3,4,482,1,2,2
69,hahen,GKT,1,1,995,4,256,None,None,None,None,484,1,4,4,484,1,2,2
70,pablocmatos,TrabEngSist,1,1,998,15,21,None,None,None,None,485,1,15,15,485,1,10,10
71,sohailalam2,GenericMBeanCLI,1,1,1030,1,128,None,None,None,None,486,1,1,1,486,1,7,7
72,LoQIStar,Eureka,2,2,1033,5,406,None,None,None,None,487,2,4,5,488,1,1,1
73,xrealproject,xreal_client,3,3,989,11,145,None,None,None,None,489,3,6,11,491,1,3,3
74,japgo,mygithub,4,4,1001,53,12379,None,None,None,None,493,4,26,53,495,1,2,2
75,jliangguo,HelloJava,1,1,1000,10,226,None,None,None,None,496,1,10,10,496,1,1,1
76,dorbacao,bsi-zimmer,7,7,1098,172,2837,None,None,None,None,497,7,107,172,497,1,25,25
77,alexsandro-xpt,ErysDownloader,4,4,1069,18,60,None,None,None,None,505,4,10,18,504,1,5,5
78,reshet,SARS_RemoteUploader,2,2,1000,2,75,None,None,None,None,508,2,1,2,508,1,2,2
79,whypro,Edge-Detection-Using-Ant-Colony-Algorithm,4,4,999,7,115,None,None,None,None,510,4,3,7,24,1,2,2
80,huawenyu,dotfiles,10,10,1004,455,323,None,None,None,None,520,10,282,455,513,1,1,1
81,TalAcademic,FinalProject,2,2,998,100,496,None,None,None,None,522,2,68,100,522,1,8,8
82,zifengh,GPS,1,1,993,4,144,None,None,None,None,523,1,4,4,523,1,1,1
83,changer,hotshot.js,4,4,991,10,202,None,None,None,None,526,4,6,10,525,1,1,1
84,metecyu,flexflow,3,3,994,10,250,None,None,None,None,528,3,8,10,528,1,1,1
85,rmacdonaldsmith,CQRS-MassTransit,1,1,1004,2,2169,None,None,None,None,531,1,2,2,531,1,2,2
86,gluedig,diagrams,3,3,1097,4,9,None,None,None,None,233,3,2,4,233,2,4,6
87,UKirsche,NupicNumentaModel,2,2,1000,9,20,None,None,None,None,534,2,7,9,533,1,1,1
88,Gregzenegair,paris_resto,4,4,1002,60,191,None,None,None,None,535,4,48,60,535,1,1,1
89,AshitakaLax,SmartHome,12,12,1517,176,1249,None,None,None,None,546,12,71,176,541,1,1,1
90,tylermenezes,ROIDS,1,1,1164,2,185,None,None,None,None,551,1,2,2,551,1,11,11
91,zoujiaqing,qing,1,1,100,1,151,None,None,None,None,552,1,1,1,552,1,1,1
92,NSST,FUBAUnrealProject,1,1,993,24,80,None,None,None,None,553,1,24,24,553,1,2,2
93,CRISTELSoftware,CRISTEL-DHANULA,1,1,988,1,411,None,None,None,None,554,1,1,1,554,1,2,2
94,dyland30,interfaz_covi,1,1,990,7,462,None,None,None,None,555,1,7,7,555,1,2,2
95,europeana,tools,21,21,991,318,6949,None,None,None,None,558,21,99,318,556,1,3,3
96,europeana,contrib,11,11,984,220,21904,None,None,None,None,578,11,155,220,560,1,7,7
97,walterfan,simpledao,10,10,995,110,4478,None,None,None,None,586,10,53,110,584,3,3,6
98,theforeman,hammer-cli,23,25,1443,491,227,None,None,None,None,597,25,188,491,596,1,1,1
99,utkuaydin,marble,140,154,3475,10267,5144,None,None,None,None,388,154,1899,10267,346,3,30,32
100,grasscrm,gdesigner,2,2,983,7,12566,None,None,None,None,627,2,6,7,627,1,5,5
101,vicwue,Flashcards,3,3,1293,4,72,None,None,None,None,628,3,2,4,628,1,1,1
102,Ian-Ferreira,Upiva,2,2,991,3,640,None,None,None,None,631,2,2,3,632,1,1,1
103,joseparnau,rosjac,8,8,983,715,3645,None,None,None,None,633,8,683,715,633,1,9,9
104,NCIP,lexevs-remote,13,13,2251,279,4059,None,None,None,None,642,13,189,279,642,1,4,4
105,YoonMyeongSeok,BatchMonitoring,1,1,984,10,717,None,None,None,None,654,1,10,10,654,1,1,1
106,iporsut,DCITodoApp,1,1,986,2,577,None,None,None,None,655,1,2,2,655,1,1,1
107,SeanPWLynch,Muroidea,3,3,982,4,127,None,None,None,None,656,3,2,4,657,1,1,1
108,jvmvik,Next,2,2,991,12,162,None,None,None,None,660,2,9,12,659,1,1,1
109,a2e,api2ecore,3,3,1004,8,27,None,None,None,None,663,3,6,8,662,1,1,1
110,gmcfall,semantictools-tutorial,2,2,983,22,50,None,None,None,None,665,2,14,22,664,2,1,2
111,eclipse,atl,15,15,4169,4427,7946,None,None,None,None,673,15,2920,4427,673,1,35,35
112,JMnITup,PictureHandler,3,3,982,13,87,None,None,None,None,679,3,10,13,679,1,1,1
113,accord-net,framework,26,26,1458,906,13376,None,None,None,None,682,26,796,906,682,1,1,1
114,rahma22,Rep_Pattern,2,2,1104,20,179,None,None,None,None,709,2,19,20,709,1,6,6
