#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
169,shadowmick1,swtor-emu,1,1,1471,2,606,None,None,None,None,1324,1,2,2,1324,1,1,1
170,luizht,proyectoherramientasprogramacionII,5,5,1317,17,146,None,None,None,None,1325,5,7,17,1325,1,1,1
171,megadotnet,ironframework,4,4,1348,251,1651,None,None,None,None,1329,4,192,251,1330,2,19,24
172,gerritvoss,OpenSGToolbox,23,24,3226,2294,9449,None,None,None,None,1333,24,1574,2294,1333,1,3,3
173,KHProjects,KH-Parker-Fox,8,8,1398,155,9020,None,None,None,None,1361,8,102,155,1363,1,1,1
174,nzdev,Monopoly-Deal-WCF,2,2,1469,53,519,None,None,None,None,1365,2,48,53,1365,1,1,1
175,xximjasonxx,Codemash,2,2,1308,190,3459,None,None,None,None,1368,2,180,190,1368,1,1,1
176,team-worthwhile,worthwhile,10,10,1621,1894,2694,None,None,None,None,1371,10,678,1894,1369,1,2,2
177,baskint,BoardSportsASPMVC,3,3,1811,21,1285,None,None,None,None,1379,3,15,21,1379,1,1,1
178,zenki2001cn,SnippetCode,3,3,1408,152,16006,None,None,None,None,1383,3,95,152,1384,2,2,3
179,ewencluley,Basic-Game-Engine,2,2,1399,10,112,None,None,None,None,1386,2,6,10,1386,1,1,1
180,ptran123,Conceptual,3,3,1521,57,1056,None,None,None,None,1387,3,53,57,1387,1,8,8
181,yuanqixun,oryx-editor,1,1,1775,13,6444,None,None,None,None,681,1,13,13,681,1,10,10
182,StephenWalther,MVC4ClientApp,1,1,1329,1,643,None,None,None,None,1390,1,1,1,1390,1,1,1
183,edna-site,edna-rcp,4,4,1862,113,837,None,None,None,None,1391,4,62,113,1393,1,2,2
184,kamiljano,PCRemote,2,2,1292,35,2015,None,None,None,None,1395,2,20,35,1395,2,18,20
185,nearfriendzz,Junggla_project,3,3,1299,9,4353,None,None,None,None,1397,3,6,9,1397,1,2,2
186,ReactorORM,reactor,12,12,3832,444,3557,None,None,None,None,1400,12,315,444,1409,1,1,1
187,jackpinto,all-about-nHibernate,2,2,1306,34,205,None,None,None,None,1412,2,31,34,1412,1,3,3
188,Yndal,BDSA-Assignments,4,4,1302,306,1221,None,None,None,None,1414,4,150,306,1414,1,1,1
189,UbiCompForAll,UbiComposer,2,2,1372,39,455,None,None,None,None,1418,2,38,39,1418,1,1,1
190,HBArck,d6972a1,1,1,1282,30,276,None,None,None,None,1420,1,30,30,1420,1,2,2
191,unidal,maven-plugins,2,2,1421,178,2445,None,None,None,None,1421,2,175,178,1421,1,6,6
192,mauroscl,TraderWizard,3,3,1311,58,663,None,None,None,None,1423,3,43,58,1423,1,2,2
193,leidy1986,proyectoHerramientasdeprogramacionIII,6,6,1301,19,848,None,None,None,None,1428,6,8,19,,0,,0
194,saeidghoreshi,partition1,2,2,1296,231,34850,None,None,None,None,1430,2,230,231,1430,1,9,9
195,bennadel,Crypto.cfc,1,1,1326,6,560,None,None,None,None,1432,1,6,6,1432,1,1,1
196,jellar,iDeal,1,1,1326,1,1256,None,None,None,None,1433,1,1,1,1433,1,1,1
197,dvicory,AngryTanks,3,3,1481,146,2422,None,None,None,None,1434,3,117,146,1434,1,14,14
198,keithshort1,MyLoProto,1,1,1323,13,492,None,None,None,None,1437,1,13,13,1437,1,7,7
199,crawfis,RaceManager,3,3,1405,55,407,None,None,None,None,1440,3,42,55,1439,1,1,1
200,walter-manger,USF-Computer-Science,1,1,1322,2,468,None,None,None,None,1441,1,2,2,1441,1,1,1
201,marianadinf,iDeal,4,4,1321,68,1271,None,None,None,None,1442,4,54,68,1433,1,1,1
202,Xeago,Carnaval-Radio,6,6,1440,180,11513,None,None,None,None,1448,6,86,180,1446,1,2,2
203,Obeo,emf.compare.acceptance.tests,6,6,1299,125,1598,None,None,None,None,829,6,64,125,826,1,6,6
204,craigmcmillan01,C-sharp-Work,1,1,1281,41,720,None,None,None,None,1451,1,41,41,1451,1,24,24
205,fh-group,MailChimp-ColdFusion-API-Wrapper,5,5,1512,17,1468,None,None,None,None,1454,5,6,17,1456,2,1,2
206,gpeipman,Visual-Studio-Experiments,2,2,2021,62,888,None,None,None,None,1457,2,38,62,1457,1,1,1
207,streathamAdministrators,La_Fourchette_2012,5,5,1411,181,562,None,None,None,None,1462,5,55,181,1460,2,6,7
208,alvarovn,reactor,2,2,1532,61,143,None,None,None,None,1464,2,58,61,1464,1,3,3
209,boon-code,loco,1,1,1351,48,251,None,None,None,None,1466,1,48,48,1466,1,2,2
210,borje,apmaskin,6,6,2763,82,6793,None,None,None,None,1467,6,47,82,1467,2,2,3
211,brunodiniz,KSE,2,2,1475,22,5533,None,None,None,None,1473,2,19,22,1473,1,12,12
212,BYU-NLP-Lab,topicalguide,32,34,1943,1475,6280,None,None,None,None,1477,34,444,1475,1476,1,2,2
213,CIRCL,bgp-ranking,11,11,2251,1200,709,None,None,None,None,1509,11,647,1200,1513,2,6,7
214,clbustos,PHP_Beautifier,8,7,4078,111,329,None,None,None,None,1520,7,71,111,1520,1,1,1
215,collective,ArchGenXML,50,50,4693,1966,837,None,None,None,None,1530,50,438,1966,1567,10,8,23
216,copasi,COPASI,50,50,5568,15790,5820,None,None,None,None,1578,50,7135,15790,1604,1,1,1
217,dverstap,jsmiparser,4,6,3910,182,842,None,None,None,None,1627,6,165,182,1627,1,2,2
218,ezekielriva,CampeonatoFutbol-Area4,3,3,1417,29,10378,None,None,None,None,336,3,25,29,336,1,1,1
219,ezsystems,ezsurvey,22,24,2958,143,868,None,None,None,None,1634,24,57,143,1634,1,1,1
220,factorlibre,openerp-extra-6.1,2,2,1308,9,10429,None,None,None,None,1659,2,6,9,1659,1,1,1
221,gestiweb,eneboo-modules,14,14,1622,165,2433,None,None,None,None,1669,14,36,165,1661,1,4,4
222,gimmi,randomhacking,4,4,2479,694,8926,None,None,None,None,1679,4,431,694,1677,1,1,1
223,gosia-wielgus,jms-brokers,5,5,1469,90,1096,None,None,None,None,1682,5,47,90,1682,1,2,2
224,homebase,lib.external,8,8,1328,53,24702,None,None,None,None,1686,8,24,53,1690,1,1,1
225,ikharlampenkov,tm,4,4,1607,399,1321,None,None,None,None,1693,4,394,399,1693,1,2,2
226,integry,livecart,15,15,3470,4265,8357,None,None,None,None,1706,15,1605,4265,1706,1,1,1
227,jmolloy,pedigree,44,44,3000,3621,27490,None,None,None,None,1734,44,2403,3621,1734,3,4,8
228,jojokine,OhHa,12,12,1310,73,243,None,None,None,None,1757,12,40,73,,0,,0
229,jonesrl,redundancy,1,1,1485,27,197,None,None,None,None,1768,1,27,27,1768,1,2,2
230,K-3D,k3d,17,18,3266,3509,6833,None,None,None,None,1769,18,2557,3509,1769,1,2,2
231,lcrdcastro,viaweb,3,3,1326,4,26064,None,None,None,None,1789,3,2,4,1789,1,1,1
232,leomurta,labgc-2012.2,18,18,1327,443,307,None,None,None,None,1796,18,91,443,1796,3,4,8
233,liwenhaosuper,yfs,2,2,1298,10,142,None,None,None,None,1809,2,6,10,1809,1,3,3
234,llohellohe,cp,4,4,1509,39,322,None,None,None,None,1813,4,28,39,1811,1,1,1
235,locsic,Law-Enforcement-Scripts,2,2,1902,21,7229,None,None,None,None,1815,2,19,21,1815,1,1,1
236,luisgg,iteexe,1,1,1292,3,3760,None,None,None,None,1816,1,3,3,1816,1,1,1
237,luisgg,thunar,1,2,953,6,569,None,None,None,None,1816,2,5,6,1816,1,2,2
238,maersu,roal,1,1,530,5,739,None,None,None,None,1818,1,5,5,1818,1,2,2
239,mapbender,fom,26,26,1348,694,515,None,None,None,None,1824,26,212,694,1820,1,1,1
240,martinrunge,muroa,5,5,3977,592,1614,None,None,None,None,1845,5,471,592,1846,1,1,1
241,metno,wdb-feltload,6,6,2625,134,152,None,None,None,None,1850,6,86,134,1850,1,1,1
242,mihaly4,KanjiTools,5,5,1286,73,344,None,None,None,None,1856,5,49,73,1856,1,4,4
243,miniwark,begotemp,1,1,1328,56,59,None,None,None,None,1861,1,56,56,1861,1,6,6
244,mmontone,sol,1,1,1304,3,775,None,None,None,None,1862,1,3,3,1862,1,2,2
245,nadavkav,RTL-BIDI-Hebrew-Moodle-Plugins,2,2,2201,483,22790,None,None,None,None,1863,2,482,483,1863,1,1,1
246,ngacharts,ngacharts,3,2,1728,113,114,None,None,None,None,1865,2,111,113,1865,1,1,1
247,niallcreech,cryomesh,2,2,1848,107,1787,None,None,None,None,1869,2,104,107,1868,1,1,1
248,nim65s,N7,4,4,1549,308,2269,None,None,None,None,1871,4,277,308,1871,1,4,4
249,nitro2010,moodle,6,6,807,169,165584,None,None,None,None,1873,6,90,169,1873,2,1,2
250,njall,wel-seek,2,2,1316,15,11687,None,None,None,None,1878,2,10,15,1878,1,1,1
251,npow,UW,1,1,1695,1,1400,None,None,None,None,1880,1,1,1,1880,1,8,8
252,oomushi,baka,4,4,1580,935,681,None,None,None,None,1881,4,543,935,1881,1,1,1
253,OSLL,geo2tag-web,29,29,2326,1383,9478,None,None,None,None,1893,29,267,1383,1885,2,7,8
254,ppiotr,PDFPlotsExtractor,8,8,2013,164,1103,None,None,None,None,1916,8,148,164,1918,2,2,3
255,ProjektAugustiner,yamoda-wiki,3,3,1482,12,46,None,None,None,None,1922,3,6,12,,0,,0
256,Rafiot,bgp-ranking,10,10,2251,1193,709,None,None,None,None,1509,10,645,1193,1513,2,6,7
257,ratem,eispatterns,2,2,1961,173,204,None,None,None,None,1925,2,157,173,1925,1,1,1
258,seivan,zombie_cpp_sdl,1,1,2602,2,165,None,None,None,None,1927,1,2,2,1927,1,1,1
259,sourcepole,qgis,44,45,5022,7318,13064,None,None,None,None,1930,45,1678,7318,1928,2,3,4
260,spiralout,Tracks,4,4,1773,27,73,None,None,None,None,1974,4,19,27,1974,1,1,1
261,ssinan,Xmi2Graphml,1,1,1346,32,99,None,None,None,None,1977,1,32,32,1977,1,6,6
262,tehnick,elmerfem,33,33,4010,7050,10966,None,None,None,None,1982,33,2114,7050,1998,1,6,6
263,terrameta,cloudgraph,3,3,1311,126,2088,None,None,None,None,1175,3,103,126,1175,1,13,13
264,thjomnx,telamon,1,1,1499,70,64,None,None,None,None,2011,1,70,70,2011,1,5,5
265,tibnor,OpenAndroidWeather,3,3,2063,89,1283,None,None,None,None,2014,3,46,89,2013,1,1,1
266,tine20,Tine-2.0-Open-Source-Groupware-and-CRM,56,79,3181,29743,47962,None,None,None,None,2019,79,13029,29743,2017,1,1,1
267,tmarques,waheela,1,1,1334,1,10261,None,None,None,None,2097,1,1,1,2097,1,1,1
268,tranfuga25s,turneraonline,6,6,1320,548,5306,None,None,None,None,2098,6,263,548,2098,1,2,2
269,trusanen,OhHa,3,3,1309,23,170,None,None,None,None,2105,3,18,23,2105,2,3,5
270,trusanen,TsoHa,3,3,1298,57,59,None,None,None,None,2105,3,45,57,2105,1,1,1
271,UPCnet,upc.genweb.meetings,9,9,2820,56,96,None,None,None,None,2107,9,18,56,2107,1,4,4
272,UPCnet,upc.genweb.objectiusCG,9,9,2547,32,130,None,None,None,None,2116,9,17,32,2116,1,7,7
273,w00x,BombDogDB,2,2,1288,16,84,None,None,None,None,2120,2,15,16,2120,1,1,1
274,vamegh,Automaton,1,1,1828,3,39,None,None,None,None,2122,1,3,3,2122,1,1,1
275,voxeolabs,prism-samples,2,2,2121,28,1082,None,None,None,None,2123,2,26,28,2123,1,4,4
276,wyuka,kdesdk,1,1,1384,9,4523,None,None,None,None,2125,1,9,9,2125,1,7,7
277,silkslostsoul,Eventalizer,9,9,1477,484,1239,None,None,None,None,2132,9,123,484,2132,2,2,4
278,guilhermemg,SIProject,8,8,1473,345,15719,None,None,None,None,2135,8,194,345,2135,1,1,1
