#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
1,gdisf,teaching-materials,35,35,1948,668,2421,None,None,None,None,13,35,183,668,1,1,1,1
2,EWUDesignPatterns,Project,4,4,1357,115,333,None,None,None,None,36,4,51,115,37,1,1,1
3,yano2h,TESIS,2,2,1488,722,2923,None,None,None,None,41,2,492,722,40,2,5,8
4,mozilla,affiliates-lib,10,10,1937,72,5711,None,None,None,None,43,10,34,72,43,1,346,346
5,nfroidure,TankArena,1,1,1394,60,322,None,None,None,None,52,1,60,60,52,1,2,2
6,phpDocumentor,phpDocumentor2,161,161,2118,3780,5882,None,None,None,None,54,161,1945,3780,54,1,1,1
7,mozilla,kuma-lib,10,12,2050,183,16979,None,None,None,None,216,12,48,183,215,1,315,315
8,mozilla,playdoh-lib,32,33,1937,191,16283,None,None,None,None,43,33,39,191,43,1,346,346
9,chmduquesne,blog,1,1,1664,52,119,None,None,None,None,250,1,52,52,250,1,2,2
10,sankark,sankar,9,9,1343,18,10373,None,None,None,None,251,9,5,18,251,1,6,6
11,qos-ch,logback,106,115,3613,3648,7215,None,None,None,None,260,115,2234,3648,260,1,1,1
12,locationtech,udig-platform,64,63,2190,3550,59726,None,None,None,None,390,63,1061,3550,420,1,1,1
13,rainjs,rainjs,30,30,1721,3364,8665,None,None,None,None,448,30,534,3364,453,2,9,10
14,mvladk,dp2012,4,4,1350,138,1246,None,None,None,None,472,4,91,138,472,2,10,16
15,phpDocumentor,Scrybe,3,3,1422,51,266,None,None,None,None,54,3,42,51,,0,,0
16,dkartaschew,anonymous-solarenergy,16,16,1344,415,427,None,None,None,None,476,16,169,415,477,1,1,1
17,DEVSENSE,Phalanger,21,21,1871,2220,8785,None,None,None,None,492,21,1053,2220,492,1,1,1
18,portmobile,LAGP-Example-Code,1,1,1711,2,5306,None,None,None,None,513,1,2,2,513,1,1,1
19,kallaspriit,Cassandra-PHP-Client-Library,2,2,1771,43,271,None,None,None,None,514,2,42,43,514,1,1,1
