#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
230,Pigmassacre,BarcodeScanner,6,6,1111,342,464,None,None,None,None,1287,6,210,342,1290,1,1,1
231,MuniGroup,StepByStepCookbook,4,4,1117,41,1371,None,None,None,None,1294,4,26,41,1294,1,1,1
232,jescobar7,SE350,1,1,1117,10,86,None,None,None,None,1297,1,10,10,1297,1,1,1
233,Gustavohqo,Projeto,11,11,1111,141,44,None,None,None,None,1298,11,65,141,1304,1,1,1
234,tenaz3,TemplatePattern,1,1,1112,2,12,None,None,None,None,1309,1,2,2,1309,1,1,1
235,openmichigan,oerbit_analytics,3,3,1111,128,27,None,None,None,None,1310,3,120,128,1310,1,1,1
236,opentuned,oor,1,1,1120,3,541,None,None,None,None,1313,1,3,3,1313,1,7,7
237,pawelhenek,telephony,5,5,1600,280,2614,None,None,None,None,1314,5,248,280,1314,1,1,1
238,sarahjcotton,HDTouristSSD,1,1,1117,7,888,None,None,None,None,1319,1,7,7,1319,1,4,4
239,rosspcahoon,scrolling-platformer,6,6,1100,103,172,None,None,None,None,1324,6,30,103,1323,1,5,5
240,readerAppRafKurt,WebcomponentApp,2,2,1112,121,125,None,None,None,None,1327,2,75,121,1327,1,3,3
241,molily,schulung,2,2,1112,6,75,None,None,None,None,1328,2,3,6,1328,1,1,1
242,zcwang,draw.io,4,4,1348,43,4603,None,None,None,None,1330,4,29,43,1330,1,1,1
243,techdivision,TechDivision_MagentoUnitTesting,19,19,1451,137,4700,None,None,None,None,1338,19,24,137,1339,1,1,1
244,Tim1,SW-Architektur,5,5,1109,154,402,None,None,None,None,1355,5,113,154,1356,1,2,2
245,manuelstofer,repo,2,2,1121,84,33,None,None,None,None,1359,2,75,84,1359,1,2,2
246,Nully,Jobeet-For-ZendFramework,1,1,2098,66,3413,None,None,None,None,1361,1,66,66,1361,1,1,1
247,YCAMInterlab,MOTIONER,6,6,1111,77,280,None,None,None,None,1363,6,49,77,1362,1,1,1
248,tario,tallerii2cuatri-code,3,8,1109,67,518,None,None,None,None,1374,8,31,67,1371,2,1,2
249,RestComm,sipunit,8,9,3300,204,205,None,None,None,None,1383,9,90,204,1380,1,1,1
250,Stollie,HR-CommandPattern-HWOpdracht,2,2,1114,9,39,None,None,None,None,1386,2,7,9,1386,1,3,3
251,kentarneb,Programmeringsprosjekt,1,1,1116,1,2037,None,None,None,None,1387,1,1,1,1387,1,1,1
252,dioh,isw2,9,9,1101,241,325,None,None,None,None,1388,9,72,241,1388,1,4,4
253,markkcc,FileSharingClientServer,1,1,1118,2,30,None,None,None,None,1397,1,2,2,1397,1,1,1
254,zikofv,audioplayer,2,2,1111,31,66,None,None,None,None,1398,2,29,31,1398,1,1,1
255,dzerbino,cn-avg,4,4,1203,45,807,None,None,None,None,1400,4,21,45,1400,1,68,68
256,chrisdonovan1006,androidmouseproject,2,2,1115,73,7159,None,None,None,None,1405,2,60,73,1405,1,2,2
257,tn4700,Bejerholms-Stenhuggeri,8,8,1098,479,491,None,None,None,None,1409,8,130,479,1407,2,3,4
258,AntonioRochaOliveira,EAPLI_PL_2DK,33,33,1111,391,187,None,None,None,None,1425,33,46,391,1432,1,2,2
259,AntonioRochaOliveira,EAPLI_PL_2NA,41,41,1111,330,199,None,None,None,None,1449,41,31,330,1483,1,1,1
260,AntonioRochaOliveira,EAPLI_PL_2NB,33,33,1111,483,324,None,None,None,None,1502,33,91,483,1494,6,4,12
261,BjornvdLaan,liesbeth-bjorn-rogier,7,7,1239,136,233,None,None,None,None,1515,7,62,136,1519,1,2,2
262,csiki,AntTerror,2,2,1108,12,156,None,None,None,None,1522,2,11,12,1522,1,1,1
263,zhuchenxi,draw.io,4,4,1348,43,4603,None,None,None,None,1330,4,29,43,1330,1,1,1
264,iosr-team,share-price-broker,3,3,1123,113,627,None,None,None,None,1524,3,59,113,1524,1,1,1
265,mauricioaniche,scam2013-metricminer,3,3,1097,24,20,None,None,None,None,1527,3,12,24,1527,1,1,1
266,credmp,Blog,1,1,1660,20,201,None,None,None,None,1530,1,20,20,1530,1,1,1
267,famstutz,SoCrm,1,1,1119,191,1160,None,None,None,None,1531,1,191,191,1531,1,3,3
268,veniora,Mancala,1,1,1111,13,33,None,None,None,None,1532,1,13,13,1532,1,1,1
269,kape1395,ls1mcs,9,7,1120,245,210,None,None,None,None,1533,7,238,245,1533,1,16,16
270,Civilization-CSSE376,Civilization,4,4,1113,236,1300,None,None,None,None,1544,4,101,236,1543,1,2,2
271,andredalton,bcc,13,13,1106,245,1502,None,None,None,None,1548,13,94,245,1546,1,1,1
272,kornicameister,NeuralNetwork,2,2,1115,43,97,None,None,None,None,1560,2,26,43,1559,1,1,1
273,cemeai,Check-Please,4,4,1112,251,931,None,None,None,None,1561,4,101,251,1561,1,2,2
274,Aleciano,projLocadora-web,6,6,1109,141,250,None,None,None,None,1567,6,70,141,1565,1,1,1
275,zerovm,gcc,15,16,2149,90,40360,None,None,None,None,1572,16,27,90,1571,1,3,3
276,thomaskneisel,WinGinX,2,2,1112,12,11940,None,None,None,None,1587,2,9,12,1587,1,1,1
277,speredenn,matlab-tools,2,2,1113,23,1395,None,None,None,None,1590,2,20,23,1590,1,2,2
278,twocngdagz,draw.io,4,4,1348,45,4646,None,None,None,None,1330,4,31,45,1330,1,1,1
279,OverlordDerp,Pop-Up-Quiz,3,3,1106,64,49,None,None,None,None,1592,3,47,64,1592,1,1,1
280,HelioScan,HelioScan,10,10,1667,934,6796,None,None,None,None,1595,10,326,934,1594,1,1,1
281,igofrias,feriaSW,12,12,1105,598,13815,None,None,None,None,1611,12,175,598,1605,1,1,1
282,askiba,master-thesis,3,3,1111,171,97,None,None,None,None,1618,3,89,171,1618,1,5,5
283,DownGoat,MonsterMash,16,16,1254,244,539,None,None,None,None,1623,16,48,244,1624,3,3,6
284,saul-calderonramirez,ImProc_suite,5,5,1116,18,508,None,None,None,None,1636,5,7,18,1637,2,1,2
285,maschood,WorkspaceQNX,6,6,1097,135,5648,None,None,None,None,1640,6,70,135,1640,1,1,1
286,Itaelle,tous-les-jours,4,4,1105,14,279,None,None,None,None,1648,4,6,14,1647,1,1,1
287,LuqmanSahaf,SE_Project,2,2,1098,42,445,None,None,None,None,1651,2,24,42,1651,1,1,1
288,jeanin92,DieVerrueckteSightseeingtour,4,4,1097,483,1937,None,None,None,None,1654,4,220,483,1653,1,5,5
289,khaledsaied,DAB_LABS,1,1,1147,7,55,None,None,None,None,1656,1,7,7,1656,1,1,1
290,duynii,RestfulDesigner,5,5,1117,206,189,None,None,None,None,1657,5,170,206,1657,1,4,4
291,benna100,CityWalk,3,3,1091,95,2401,None,None,None,None,1664,3,38,95,1663,1,1,1
292,abrj,BAAAP,7,7,1079,375,77,None,None,None,None,1667,7,158,375,1667,1,2,2
293,petergodfrey,TradeSimulator,4,4,1085,131,1473,None,None,None,None,1673,4,52,131,1674,1,2,2
294,jion,IA-TP1,2,2,1085,63,318,None,None,None,None,1676,2,62,63,1676,1,1,1
295,NASA-Tournament-Lab,coeci-cms-mpsp,3,3,1096,121,5383,None,None,None,None,1680,3,80,121,1679,1,2,2
296,sasfeld,NamespaceFixer,1,1,1113,4,40,None,None,None,None,1681,1,4,4,1681,1,1,1
297,gracielamiranda,caixa_eletronico,8,8,1085,56,81,None,None,None,None,1683,8,21,56,1683,2,2,3
298,YsuSERESL,OnionUmlVisualization,10,10,1278,118,332,None,None,None,None,1690,10,31,118,,0,,0
299,sudarshanshubakar,simpleClinic,2,2,1196,8,60,None,None,None,None,1700,2,5,8,1701,1,3,3
300,mjamaleddine,crowd-innovation,7,7,1075,80,150,None,None,None,None,1704,7,27,80,1704,2,1,2
301,clee0,Checkers,5,5,1090,28,44,None,None,None,None,1711,5,11,28,4,1,1,1
302,memorais,TC2,2,2,1081,72,127,None,None,None,None,1712,2,41,72,1712,2,1,2
303,realtalk403,realtalk,16,16,1089,390,359,None,None,None,None,1715,16,67,390,1724,2,4,5
304,jucimarjr,ooerlang,7,7,1078,54,1358,None,None,None,None,1731,7,17,54,1732,1,3,3
305,jewebb,FenderBenders,7,7,1089,97,61,None,None,None,None,1738,7,34,97,1739,1,1,1
306,GiacoPalma,AlmhultFlyg,8,8,1079,271,404,None,None,None,None,1746,8,98,271,1747,1,1,1
307,pwholmes,geppetto,3,3,1083,111,210,None,None,None,None,1752,3,90,111,1752,1,1,1
308,percious,sproxdox,2,2,2660,49,352,None,None,None,None,1755,2,46,49,1755,1,2,2
309,chamhayden,COMP2911-ASS1,8,8,1085,295,290,None,None,None,None,1759,8,94,295,1760,1,5,5
310,SDAInfiniteQuest,POO2,4,4,1130,21,15,None,None,None,None,1766,4,8,21,1766,1,1,1
311,endymuhardin,materi-kuliah-java-fundamental-2011,3,3,1659,115,191,None,None,None,None,1769,3,87,115,1769,1,3,3
312,PetyoKostakov,JavaProgramming,1,1,1073,3,42,None,None,None,None,1772,1,3,3,1772,1,2,2
313,lolotobg,hangman,5,5,1081,68,46,None,None,None,None,1774,5,30,68,1775,1,1,1
314,vish89,os-sim,5,5,1105,13,57,None,None,None,None,1778,5,5,13,1780,1,1,1
315,m2march,isw2,17,17,1086,393,261,None,None,None,None,1785,17,127,393,1785,1,2,2
316,mexx91,basicVideoRTC,1,1,1112,17,567,None,None,None,None,1799,1,17,17,1799,1,1,1
317,zqureshi,CSC309,5,5,1167,230,1055,None,None,None,None,1800,5,86,230,,0,,0
318,rrojano,sysgen,20,20,1111,141,143,None,None,None,None,1809,20,41,141,1815,2,4,6
319,MFizz,PJKI,1,1,1077,4,11,None,None,None,None,1825,1,4,4,1825,1,1,1
320,hborawski,CalendarManager,3,3,1075,12,109,None,None,None,None,1827,3,6,12,1827,1,1,1
321,delmo,TheAntGame,1,1,1096,18,211,None,None,None,None,1829,1,18,18,1829,1,4,4
322,git-akram,Analyse-syntaxique,7,7,1090,76,33,None,None,None,None,1831,7,38,76,,0,,0
323,imranomar,firstmobile,1,1,1109,4,157,None,None,None,None,1837,1,4,4,1837,1,1,1
324,spolnik,MSc_TaskManagementSystem_MachineLearning,1,1,1144,1,333,None,None,None,None,1838,1,1,1,1838,1,5,5
325,portugol,documents,9,9,1111,250,175,None,None,None,None,1840,9,122,250,401,1,2,2
326,jasongonzales23,irishfest,2,2,1427,95,448,None,None,None,None,1847,2,87,95,1848,1,23,23
327,leviathan747,Miscellaneous,2,2,1100,4,4176,None,None,None,None,1849,2,3,4,1849,1,1,1
328,rehfeldchris,cs160proj,9,9,1090,205,367,None,None,None,None,1851,9,65,205,1852,2,1,2
329,MonopolyProject,Monopoly,5,5,1110,83,190,None,None,None,None,1863,5,38,83,1863,1,2,2
330,amethyst86,HW8,3,3,1113,5,22,None,None,None,None,1865,3,2,5,1865,3,1,3
331,Kanma,pymc,1,1,1871,10,3053,None,None,None,None,1868,1,10,10,1868,1,1,1
332,amn,uio-inf1050-s13-oblig2,1,1,1109,3,9,None,None,None,None,1869,1,3,3,1869,1,5,5
333,guigonc,ETL-Framework,3,3,1690,55,266,None,None,None,None,1871,3,29,55,1871,1,3,3
334,vijeshm,recommendation-algorithm-fyp,3,3,1126,36,598,None,None,None,None,1873,3,28,36,1873,2,2,3
335,DatawaveMarineScience,OpenSEA,6,6,1098,111,18825,None,None,None,None,1881,6,40,111,1881,2,14,20
336,jmenzel,AI-P,4,4,1088,92,851,None,None,None,None,1883,4,44,92,1884,1,1,1
337,charistomenopoulos,SoftwareEngineering,2,2,1078,9,205,None,None,None,None,1886,2,8,9,1886,1,3,3
338,mikewideman,erlangmud,11,11,1080,423,67,None,None,None,None,1890,11,165,423,,0,,0
339,MassBayCS225,EMS,19,19,1097,717,794,None,None,None,None,1900,19,192,717,1900,3,5,9
340,convisoappsec,webfight,2,2,1371,3,816,None,None,None,None,1919,2,2,3,1919,1,2,2
341,UCSD-TIES,DVS-Python,32,32,1081,390,1978,None,None,None,None,1921,32,163,390,1939,1,3,3
342,ronin-ruby,ronin-ruby.github.io,4,4,2455,803,1641,None,None,None,None,1952,4,793,803,1952,1,12,12
343,Polyphechris,JengaSimulator,4,4,1091,52,86,None,None,None,None,1957,4,24,52,1958,1,1,1
344,hackfestca,cnb,3,3,1083,22,407,None,None,None,None,1960,3,18,22,1962,2,41,80
345,Lulububu,denseOpticalflow,1,1,1083,5,370,None,None,None,None,1963,1,5,5,1963,1,1,1
346,wildone,draw.io,4,4,1348,45,4646,None,None,None,None,1330,4,31,45,1330,1,1,1
347,plandevida,Practica4-TP,5,5,1081,145,641,None,None,None,None,1968,5,72,145,1966,1,1,1
348,ygalkami,rose_backup,1,1,1446,2,10796,None,None,None,None,1969,1,2,2,1969,1,1,1
349,librelab,qtmoko-test,1,1,1971,104,57378,None,None,None,None,1970,1,104,104,1970,1,4,4
350,kmadac,bitstamp-python-client,7,7,1105,78,18,None,None,None,None,1971,7,58,78,1971,1,2,2
351,jakepetroules,ksc-archive,1,1,1439,3,2076,None,None,None,None,1978,1,3,3,1978,1,13,13
352,jspdown,Plazza-manu-harold-tom,3,3,1085,59,124,None,None,None,None,1981,3,28,59,1979,1,1,1
353,srnjcbsn,BachelorReport,3,3,1083,158,251,None,None,None,None,1982,3,89,158,1982,2,7,8
354,jpbarbosa,AirlineManager,8,8,2027,187,1330,None,None,None,None,1986,8,56,187,1985,1,1,1
355,Elinos,TelerikAcademy,3,3,1073,181,10457,None,None,None,None,1993,3,159,181,1993,1,1,1
356,progettoPACS,PROGETTO,8,8,1098,154,369,None,None,None,None,2000,8,63,154,2000,1,1,1
357,hamdanjaveed,hamJam,2,2,1071,23,34,None,None,None,None,2005,2,22,23,2005,1,1,1
358,matthenry87,OS_Producer_Consumer,2,2,1072,6,14,None,None,None,None,2006,2,4,6,2006,1,1,1
359,wellsdb,Stratego-A-Go-Go,3,3,1108,94,366,None,None,None,None,2009,3,67,94,2009,1,1,1
360,ZooTypers,ZooTypers,34,34,1072,745,707,None,None,None,None,2017,34,176,745,2017,1,2,2
361,nonrational,eclipse-juno-sr2,2,2,1069,32,24666,None,None,None,None,2045,2,31,32,2045,1,2,2
362,IvanCS,integrationService,1,1,1110,66,1957,None,None,None,None,2047,1,66,66,2047,1,1,1
363,NCIP,cagrid-general,10,10,2390,157,17059,None,None,None,None,2049,10,63,157,2048,1,1,1
364,sukkw,java_course,3,3,1086,163,1683,None,None,None,None,2058,3,130,163,2058,2,3,4
365,DusanMadar,TPRT,1,1,1072,16,41,None,None,None,None,2061,1,16,16,2061,1,1,1
366,ihubacher,DREAMS,1,1,1079,158,502,None,None,None,None,2062,1,158,158,2062,1,3,3
367,hamekoz,emprender,8,8,1805,252,1070,None,None,None,None,2067,8,233,252,2067,1,2,2
368,Starlink,starjava,25,26,5003,12635,199670,None,None,None,None,2073,26,9416,12635,2071,2,51,55
369,iegor,kdei18n,1,1,1140,7,78840,None,None,None,None,2097,1,7,7,,0,,0
370,yujiorama,yujiorama.github.io,3,3,1068,40,75,None,None,None,None,2098,3,18,40,2099,1,1,1
371,nkolarov,telerik-academy,1,1,1144,123,7502,None,None,None,None,2101,1,123,123,2101,1,1,1
372,tkdchen,tkdchen.github.io,2,2,1078,71,206,None,None,None,None,2103,2,52,71,2103,1,2,2
373,tkdchen,mysite,2,2,1071,105,114,None,None,None,None,2103,2,61,105,2103,1,2,2
374,sylvose,GitHub,1,1,1019,20,1235,None,None,None,None,2104,1,20,20,2104,1,8,8
375,MMiartoteo,SisDis,2,2,1067,163,109,None,None,None,None,2105,2,89,163,2105,1,4,4
376,tkappurify,images,1,1,1071,11,23,None,None,None,None,2107,1,11,11,2107,1,1,1
377,glorion13,TextEngine,3,3,1105,67,1279,None,None,None,None,2109,3,64,67,2109,1,7,7
378,tothandras,QuadTree,2,2,1086,35,241,None,None,None,None,2111,2,34,35,2111,1,2,2
379,soundsuggest,thesis12-article,1,1,1070,3,77,None,None,None,None,2113,1,3,3,2113,1,1,1
380,soundsuggest,thesis12-text,1,1,1070,31,105,None,None,None,None,2113,1,31,31,2113,1,1,1
381,jpamaya,gestvCore,1,1,1118,28,151,None,None,None,None,2114,1,28,28,2114,1,2,2
382,HariharanN,HMS,1,1,1072,2,97,None,None,None,None,2115,1,2,2,2115,1,1,1
383,mikewootc,mikewootc.github.io,15,15,1187,447,1056,None,None,None,None,2128,15,145,447,2117,3,12,24
384,thetransporter2012,amos-osvas,6,6,1079,99,276,None,None,None,None,2135,6,45,99,2135,1,1,1
385,vincentko89,HelloWorld,2,2,1075,16,4911,None,None,None,None,2138,2,11,16,2137,1,2,2
386,dmatos,colla,7,7,1068,107,1346,None,None,None,None,2139,7,76,107,2139,1,4,4
387,ilCONDOR,Mixare4GLO,2,2,1090,33,422,None,None,None,None,2146,2,18,33,2146,1,1,1
388,Lane,Puzzle,2,2,1097,66,606,None,None,None,None,2148,2,58,66,2148,1,2,2
389,davidshepherd7,oomph-lib,16,16,2854,1050,8491,None,None,None,None,2161,16,311,1050,2158,1,1,1
390,IrwinKwan,ideagarden,2,2,1070,18,62,None,None,None,None,2166,2,14,18,2166,1,1,1
391,hsr-ba-ajw-2013,BA-Dokumentation,57,57,1141,945,263,None,None,None,None,2169,57,255,945,2168,1,2,2
392,IllDepence,sirtetris.com,1,1,453,26,246,None,None,None,None,2225,1,26,26,2225,1,1,1
393,vancegroup-mirrors,sofa-framework,111,111,3771,11227,43295,None,None,None,None,2227,111,1666,11227,2227,1,3,3
394,Itaelle,dualcamAPI,3,3,1069,6,256,None,None,None,None,2337,3,4,6,2337,1,1,1
395,tharindu99,glo,3,3,1070,5,61,None,None,None,None,2338,3,2,5,2338,1,6,6
396,Darkobi,game-of-life,1,1,1070,2,1681,None,None,None,None,2341,1,2,2,2341,1,1,1
397,mtr9858,SE362Refactor,1,1,1067,17,305,None,None,None,None,2342,1,17,17,2342,1,1,1
398,enricobacis,info3a,3,3,1151,12,84,None,None,None,None,2344,3,7,12,2344,1,2,2
399,vahan,GorillazServer,1,1,1072,18,103,None,None,None,None,2346,1,18,18,2346,1,3,3
400,metaswirl,middleware,5,5,1068,106,15954,None,None,None,None,2349,5,86,106,2350,1,1,1
401,mcandre,ant-win,2,2,1163,6,1663,None,None,None,None,2352,2,5,6,2352,1,1,1
402,mbacovsky,foreman_cli_draft,2,2,1071,72,164,None,None,None,None,1173,2,45,72,1172,1,1,1
403,mouracarina,my-game-of-life2,1,1,1069,4,2203,None,None,None,None,2354,1,4,4,2354,1,1,1
404,mla310,Project,1,1,1069,2,3417,None,None,None,None,2355,1,2,2,2355,1,2,2
405,SantiMunin,android-network-layer-design,1,1,1090,36,126,None,None,None,None,2356,1,36,36,2356,1,6,6
406,yacc143,pygccxml,4,4,3634,579,328,None,None,None,None,2357,4,554,579,2357,1,1,1
407,mfrey,baltimore,4,4,1072,428,81,None,None,None,None,2362,4,164,428,2364,1,1,1
408,GroupIntensioMemoryGame,ProjectFiles,5,5,1083,29,146,None,None,None,None,2365,5,11,29,2369,1,1,1
409,RyanYoung25,UndiscoveredWorlds,7,7,1070,288,350,None,None,None,None,2371,7,111,288,2376,1,1,1
410,jamesschro,se103project,4,4,1069,30,814,None,None,None,None,2378,4,20,30,2378,2,1,2
411,ssorj,transom,3,3,433,70,4275,None,None,None,None,572,3,53,70,572,1,84,84
