#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
672,SWPUebersetzerbauSS12,swp-uebersetzerbau-ss12,36,36,1453,1957,2321,None,None,None,None,4612,36,272,1957,4611,1,4,4
673,leotizzei,PublicHealthComplaintAO_01,3,3,1641,30,1919,None,None,None,None,4646,3,19,30,4645,1,1,1
674,urbanq,mgr,1,1,1435,120,366,None,None,None,None,4648,1,120,120,4648,1,2,2
675,IntersectAustralia,anznn,18,18,1541,636,693,None,None,None,None,4652,18,159,636,4652,1,1,1
676,LogtalkDotOrg,logtalk3,2,2,1327,3382,5081,None,None,None,None,4667,2,3380,3382,4667,1,6,6
677,teramako,teramako.github.com,2,2,2603,140,297,None,None,None,None,4669,2,138,140,4669,1,1,1
678,zetacomponents,Mail,25,25,3701,558,291,None,None,None,None,3857,25,208,558,3862,3,6,10
679,vadyalex,report,5,5,2027,31,130,None,None,None,None,4687,5,16,31,4686,1,1,1
680,kdk-pkg-soft,freehep-ncolor-pdf,1,1,1322,4,8532,None,None,None,None,4689,1,4,4,4689,1,1,1
681,npcode,computer,7,7,1446,23,1777,None,None,None,None,4695,7,8,23,4694,1,1,1
682,eclipse,cdt,84,218,5031,28714,40712,None,None,None,None,4728,218,3335,28714,4705,2,4,6
683,harsha5500,Phoenix,3,3,1471,21,190,None,None,None,None,4918,3,16,21,4919,1,1,1
684,chastell,talks,2,2,1376,215,6766,None,None,None,None,4921,2,213,215,4921,1,1,1
685,cmri,bc-hadoop,2,2,1118,3,3551,None,None,None,None,4924,2,2,3,4923,1,2,2
686,jonathankowalski,CasseBriques,2,2,1630,59,30,None,None,None,None,4926,2,43,59,4926,1,1,1
687,doroam,planning-do-roam,14,14,1869,466,2518,None,None,None,None,4928,14,145,466,4930,2,1,2
688,albertoalcolea,Cromos-Torres,1,1,1364,70,3695,None,None,None,None,4941,1,70,70,4941,1,6,6
689,UNLV-ShaneD,unlvCS473kilo,6,6,1496,65,505,None,None,None,None,4942,6,36,65,4942,1,2,2
690,echonest,remix,30,30,2767,876,2643,None,None,None,None,4949,30,281,876,4949,1,54,54
691,chris-wood,MDD-Embedded,2,2,1325,2,16417,None,None,None,None,4978,2,1,2,4979,1,1,1
692,openp2pdesign,Open-Design-Exhibition,1,1,1321,87,976,None,None,None,None,4980,1,87,87,4980,1,3,3
693,NHLFLASH,android_frameworks_base,1,1,1324,15,20654,None,None,None,None,4981,1,15,15,4981,1,2,2
694,teamgummy,frameworks_base,12,96,1566,776,24599,None,None,None,None,4985,96,151,776,4982,1,2,2
695,Ingu,ProjektBD,2,2,1431,58,228,None,None,None,None,5036,2,34,58,5036,2,1,2
696,hanhlh,hadoop-0.20.2_FatBTree,2,2,1311,2,8568,None,None,None,None,5038,2,1,2,5039,1,7,7
697,michielha,TI2200-mjbl,8,8,1309,40,25,None,None,None,None,5044,8,16,40,5044,1,1,1
698,codecomputerlove,Util,2,2,1686,7,1782,None,None,None,None,5048,2,4,7,5048,1,1,1
699,uDig,udig.github.com,5,5,1406,67,11820,None,None,None,None,3495,5,25,67,5050,3,3,9
700,KLIM8D,ucn-2semproject-dm79-group2,5,5,1310,307,146,None,None,None,None,5054,5,124,307,5054,1,10,10
701,felipegonzalez,evaluador-tareas,3,3,1337,71,110,None,None,None,None,5060,3,26,71,5059,1,1,1
702,fsouza,go-concorrencia,1,1,1317,2,82,None,None,None,None,5061,1,2,2,5061,1,1,1
703,deanwampler,Presentations,5,5,2209,378,899,None,None,None,None,5062,5,277,378,5062,1,1,1
704,AlexeyGrishin,smart-dog,2,2,1308,45,2166,None,None,None,None,5066,2,40,45,5066,1,1,1
705,INightmare,apache-isis,7,7,1405,218,10026,None,None,None,None,5068,7,154,218,5068,1,8,8
706,openhome,ohSongcast,9,9,1715,386,384,None,None,None,None,5076,9,223,386,5075,1,3,3
707,scravy,SceTris,1,1,1816,12,17609,None,None,None,None,5084,1,12,12,5084,1,2,2
708,niphree,ir,1,1,1763,72,414,None,None,None,None,5085,1,72,72,5085,1,1,1
709,t321,memoriaPFC,2,2,1418,48,228,None,None,None,None,5086,2,47,48,5086,1,1,1
710,autonomousagents,src,9,9,1307,74,82,None,None,None,None,5088,9,34,74,5094,1,1,1
711,Activiti,Activiti,205,205,2118,6894,79390,None,None,None,None,5127,205,1237,6894,5098,1,1,1
712,leonardodavila,Java,1,1,1365,10,105,None,None,None,None,5304,1,10,10,5304,1,1,1
713,opentrader,opentrader.github.com,2,2,2030,17,7003,None,None,None,None,5305,2,16,17,5305,1,1,1
714,RailsWeek2012,enterprise_social_network,1,1,1356,73,241,None,None,None,None,5307,1,73,73,5307,1,1,1
715,RestComm,RestComm-Core,47,48,1645,3921,20372,None,None,None,None,5310,48,1263,3921,5321,5,2,6
716,KVHC,adrumdrum,5,5,1303,296,706,None,None,None,None,5351,5,97,296,5351,1,3,3
717,retoo,bodesuri,6,6,3277,1616,1259,None,None,None,None,5355,6,517,1616,,0,,0
718,MinELenI,CBSviewer,14,14,1315,1262,2128,None,None,None,None,5364,14,607,1262,5365,1,1,1
719,rymdo,SuperEpicSpelOfDoom,8,8,1309,103,2414,None,None,None,None,5377,8,33,103,5377,2,1,2
720,Prechtig,BDSA2012,3,3,1301,21,183,None,None,None,None,5383,3,14,21,5383,1,1,1
721,zetacomponents,PersistentObject,18,18,3892,576,244,None,None,None,None,3861,18,382,576,3861,3,26,31
722,jziub,MRProvenance,2,2,1300,5,2663,None,None,None,None,5391,2,3,5,5390,1,4,4
723,BioInterchange,BioInterchange,4,4,1309,377,195,None,None,None,None,5392,4,316,377,5392,1,1,1
724,Frolle,Schmaps,6,6,1299,640,556,None,None,None,None,5396,6,241,640,5400,2,2,3
725,kyhhdm,TPlatform,2,2,1314,2,1121,None,None,None,None,5402,2,1,2,5403,1,1,1
726,shivaghose,ME552,4,4,1304,648,637,None,None,None,None,5405,4,499,648,5405,1,2,2
727,silkslostsoul,Eventalizer,9,9,1477,484,1239,None,None,None,None,5414,9,123,484,5408,2,3,6
728,crevillo,ezc,1,1,1319,3,11925,None,None,None,None,4481,1,3,3,4481,1,1,1
