"#uml_file, file_path, file_url, file_id, repo_id, repo_user, repo_name, author, commiter, modifications, repo_age, file_age, commits_before, commits_after"
doc.uml,doc.uml,https://raw.githubusercontent.com/jasterJung/JasterEmbeddedServer/master/doc.uml,3293,8,jasterJung,JasterEmbeddedServer,49,49,1,1254,1254,1,39
ModelingProject1.uml,Design/ModelDefinition/ModelingProject1.uml,https://raw.githubusercontent.com/Malow/NotDeadYet/master/Design/ModelDefinition/ModelingProject1.uml,4902,9,Malow,NotDeadYet,52,52,19,1237,1155,478,1466
synaps.uml,doc/source/images/synaps.uml,https://raw.githubusercontent.com/spcs/synaps/master/doc/source/images/synaps.uml,11051,10,spcs,synaps,65,65,3,1483,969,383,91
SimpleUML.uml,examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.Uml2Xhtml.composite/output/SimpleUML.uml,https://raw.githubusercontent.com/eclipse/qvto/master/examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.Uml2Xhtml.composite/output/SimpleUML.uml,19964,11,eclipse,qvto,84,84,0,3172,2570,2245,1856
SimpleUML.uml,examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.Uml2Xhtml/model/SimpleUML.uml,https://raw.githubusercontent.com/eclipse/qvto/master/examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.Uml2Xhtml/model/SimpleUML.uml,19979,11,eclipse,qvto,84,84,0,3172,2570,2245,1856
family.uml,examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.ecore2uml/out/family.uml,https://raw.githubusercontent.com/eclipse/qvto/master/examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.ecore2uml/out/family.uml,20005,11,eclipse,qvto,83,83,0,3172,2570,2256,1845
Ecore2Uml.uml,examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.explained/out/Ecore2Uml.uml,https://raw.githubusercontent.com/eclipse/qvto/master/examples/org.eclipse.m2m.qvt.oml.econ2009.tutorial/projects/qvto.explained/out/Ecore2Uml.uml,20022,11,eclipse,qvto,85,85,0,3172,2570,2257,1844
expected.uml,tests/org.eclipse.m2m.tests.qvt.oml/antTestData/simple/expected.uml,https://raw.githubusercontent.com/eclipse/qvto/master/tests/org.eclipse.m2m.tests.qvt.oml/antTestData/simple/expected.uml,15782,11,eclipse,qvto,83,83,0,3172,2917,940,3161
expected.uml,tests/org.eclipse.m2m.tests.qvt.oml/parserTestData/models/mm_header2/expected.uml,https://raw.githubusercontent.com/eclipse/qvto/master/tests/org.eclipse.m2m.tests.qvt.oml/parserTestData/models/mm_header2/expected.uml,14125,11,eclipse,qvto,84,84,0,3172,3147,132,3969
messages.uml,Buschtrommel/messages.uml,https://raw.githubusercontent.com/toebbel/buschtrommel/master/Buschtrommel/messages.uml,30189,12,toebbel,buschtrommel,96,96,0,1266,713,470,0
models.uml,Buschtrommel/models.uml,https://raw.githubusercontent.com/toebbel/buschtrommel/master/Buschtrommel/models.uml,30190,12,toebbel,buschtrommel,96,96,0,1266,713,470,0
uml.uml,Buschtrommel/uml.uml,https://raw.githubusercontent.com/toebbel/buschtrommel/master/Buschtrommel/uml.uml,30192,12,toebbel,buschtrommel,96,96,0,1266,713,470,0
UML_HANDLER.uml,src/java/com/meidusa/amoeba/aladdin/handler/UML_HANDLER.uml,https://raw.githubusercontent.com/lihuiknight/Amoeba-for-Aladdin/master/src/java/com/meidusa/amoeba/aladdin/handler/UML_HANDLER.uml,30211,13,lihuiknight,Amoeba-for-Aladdin,104,104,0,1504,1504,1,15
UML_IO.uml,src/java/com/meidusa/amoeba/aladdin/io/UML_IO.uml,https://raw.githubusercontent.com/lihuiknight/Amoeba-for-Aladdin/master/src/java/com/meidusa/amoeba/aladdin/io/UML_IO.uml,30219,13,lihuiknight,Amoeba-for-Aladdin,104,104,0,1504,1504,1,15
UML_NET.uml,src/java/com/meidusa/amoeba/aladdin/net/UML_NET.uml,https://raw.githubusercontent.com/lihuiknight/Amoeba-for-Aladdin/master/src/java/com/meidusa/amoeba/aladdin/net/UML_NET.uml,30225,13,lihuiknight,Amoeba-for-Aladdin,104,104,0,1504,1504,1,15
UML_SQL.uml,src/java/com/meidusa/amoeba/aladdin/parser/sql/UML_SQL.uml,https://raw.githubusercontent.com/lihuiknight/Amoeba-for-Aladdin/master/src/java/com/meidusa/amoeba/aladdin/parser/sql/UML_SQL.uml,30243,13,lihuiknight,Amoeba-for-Aladdin,104,104,0,1504,1504,1,15
openflamingo.uml,src/argouml/openflamingo.uml,https://raw.githubusercontent.com/fharenheit/flamingo-mapreduce/master/src/argouml/openflamingo.uml,30678,14,fharenheit,flamingo-mapreduce,105,105,0,1240,1240,0,0
My.profile.uml,plugins/org.eclipse.emf.cdo.tests.uml/model/My.profile.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests.uml/model/My.profile.uml,155650,15,eclipse,cdo,106,106,0,3657,1252,8274,2216
10536.uml,plugins/org.eclipse.emf.cdo.tests/uml2/10536.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/10536.uml,33423,15,eclipse,cdo,106,106,0,3657,3140,802,9688
10537.uml,plugins/org.eclipse.emf.cdo.tests/uml2/10537.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/10537.uml,33424,15,eclipse,cdo,106,106,0,3657,3140,802,9688
Ecore.uml,plugins/org.eclipse.emf.cdo.tests/uml2/Ecore.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/Ecore.uml,33425,15,eclipse,cdo,106,106,0,3657,3140,802,9688
Infrastructure.uml,plugins/org.eclipse.emf.cdo.tests/uml2/Infrastructure.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/Infrastructure.uml,33426,15,eclipse,cdo,106,106,0,3657,3140,802,9688
L0.uml,plugins/org.eclipse.emf.cdo.tests/uml2/L0.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/L0.uml,33427,15,eclipse,cdo,106,106,0,3657,3140,802,9688
