"#uml_file, file_path, file_url, file_id, repo_id, repo_user, repo_name, author, commiter, modifications, repo_age, file_age, commits_before, commits_after"
NewModel4.Uml,other/NewModel4.Uml,https://raw.githubusercontent.com/DmitriyG/Diplom/master/other/NewModel4.Uml,18372,13,DmitriyG,Diplom,185,185,0,1281,1161,17,6
wineShop.uml,docs/wineShop.uml,https://raw.githubusercontent.com/leodaruiz/wineShop/master/docs/wineShop.uml,39566,24,leodaruiz,wineShop,339,339,4,1323,1318,4,16
project.uml,doc/project.uml,https://raw.githubusercontent.com/G-Node/Morphjongleur/master/doc/project.uml,39735,25,G-Node,Morphjongleur,342,342,0,1407,1384,25,33
Elimu.uml,docs/Elimu.uml,https://raw.githubusercontent.com/Coders4Elimu/elimusys/master/docs/Elimu.uml,41622,26,Coders4Elimu,elimusys,346,346,0,1697,1578,15,21
ClassDiagram.uml,doc/ClassDiagram.uml,https://raw.githubusercontent.com/runvs/SimPeople/master/doc/ClassDiagram.uml,42040,27,runvs,SimPeople,350,350,2,1291,1291,0,50
Doxyfile.uml,docs/Doxyfile.uml,https://raw.githubusercontent.com/natapol/UniSysDBMS/master/docs/Doxyfile.uml,42134,28,natapol,UniSysDBMS,354,354,0,1304,1288,1,22
Model.uml,Model.uml,https://raw.githubusercontent.com/Yakovko/SocialAchievements/master/Model.uml,44074,30,Yakovko,SocialAchievements,357,357,0,1297,1297,3,6
uml_v1.uml,UMLs/v1/uml_v1.uml,https://raw.githubusercontent.com/Hirschiger/Android/master/UMLs/v1/uml_v1.uml,44179,31,Hirschiger,Android,362,362,5,1328,1316,12,7
model.uml,app/models/model.uml,https://raw.githubusercontent.com/Ethermind/futbol/master/app/models/model.uml,44340,32,Ethermind,futbol,363,363,2,1467,1466,3,30
class.diagram.uml,doc/class.diagram.uml,https://raw.githubusercontent.com/BKcore/JungleIN/master/doc/class.diagram.uml,44374,33,BKcore,JungleIN,364,364,0,1369,1368,1,2
UniSched.uml,uml/UniSched.uml,https://raw.githubusercontent.com/it-workshop/UniSched/master/uml/UniSched.uml,45365,34,it-workshop,UniSched,367,367,5,1705,1588,92,504
GenericMenuNetwork.uml,GenericMenuNetwork.uml,https://raw.githubusercontent.com/Hobbit/CMPT385/master/GenericMenuNetwork.uml,20248,17,Hobbit,CMPT385,202,202,0,1306,1276,25,94
my.uml,Diagrama/my.uml,https://raw.githubusercontent.com/feliperuppel/NewItens/master/Diagrama/my.uml,47586,35,feliperuppel,NewItens,382,382,0,1297,1278,11,239
jdbc.uml,Task1/Models/jdbc.uml,https://raw.githubusercontent.com/eupharina/OOA-P/master/Task1/Models/jdbc.uml,43939,29,eupharina,OOA-P,356,356,0,1292,1248,21,4
ClassDiagram.uml,ClassDiagram.uml,https://raw.githubusercontent.com/ateston/user-manager/master/ClassDiagram.uml,47786,36,ateston,user-manager,389,389,0,1288,1259,8,20
status.state.uml,doc/uml/status.state.uml,https://raw.githubusercontent.com/coryb/gearbox/master/doc/uml/status.state.uml,47896,37,coryb,gearbox,394,394,0,1475,1475,0,66
GZMigration.uml,GZMigration.uml,https://raw.githubusercontent.com/JSansalone/GZMigration/master/GZMigration.uml,48987,38,JSansalone,GZMigration,401,401,0,1391,1383,10,47
certificate.uml,certificate.uml,https://raw.githubusercontent.com/huythang38/Certificate/master/certificate.uml,16695,9,huythang38,Certificate,29,29,0,1313,1268,64,1
FreeCAD.uml,src/Doc/FreeCAD.uml,https://raw.githubusercontent.com/mrlukeparry/freecad/master/src/Doc/FreeCAD.uml,50805,39,mrlukeparry,freecad,213,213,0,1639,1639,0,1397
Use-cases.uml,latex/Grafici/Use-cases.uml,https://raw.githubusercontent.com/ximarx/tesi/master/latex/Grafici/Use-cases.uml,21048,20,ximarx,tesi,212,212,1,1314,1295,23,32
libGPE.uml,libGPE/docs/libGPE.uml,https://raw.githubusercontent.com/CafeGIS/gvSIG2_0/master/libGPE/docs/libGPE.uml,59931,40,CafeGIS,gvSIG2_0,405,405,0,1308,1307,32,19
csit_hadoop.uml,uml/csit_hadoop.uml,https://raw.githubusercontent.com/ngzhian/csit_hadoop/master/uml/csit_hadoop.uml,67500,41,ngzhian,csit_hadoop,406,406,0,1310,1309,1,4
MavenDemo.uml,MavenDemo/MavenDemo.uml,https://raw.githubusercontent.com/wissne/maplePrj/master/MavenDemo/MavenDemo.uml,69589,42,wissne,maplePrj,408,408,0,1646,605,18,5
model.uml,doc/design/model.uml,https://raw.githubusercontent.com/railcoach/railcoach/master/doc/design/model.uml,71300,43,railcoach,railcoach,412,412,0,2069,2062,5,567
Auction.uml,docs/uml/Auction.uml,https://raw.githubusercontent.com/Torrence/AuctionExp/master/docs/uml/Auction.uml,72748,44,Torrence,AuctionExp,442,442,0,1326,1325,3,0
Deployment.uml,latex/Grafici/Deployment.uml,https://raw.githubusercontent.com/ximarx/tesi/master/latex/Grafici/Deployment.uml,21105,20,ximarx,tesi,212,212,1,1314,1288,32,23
argo.uml,cad/src/PM/argo.uml,https://raw.githubusercontent.com/kanzure/nanoengineer/master/cad/src/PM/argo.uml,79926,45,kanzure,nanoengineer,448,448,0,4297,3155,6665,5048
Mymodel.uml,Task1/Models/Mymodel.uml,https://raw.githubusercontent.com/eupharina/OOA-P/master/Task1/Models/Mymodel.uml,43441,29,eupharina,OOA-P,356,356,12,1292,1287,8,17
MyModel.uml,Task2/Models/MyModel.uml,https://raw.githubusercontent.com/eupharina/OOA-P/master/Task2/Models/MyModel.uml,43943,29,eupharina,OOA-P,356,356,3,1292,1248,21,4
CorpSecurity.uml,misc/CorpSecurity.uml,https://raw.githubusercontent.com/evolya/corpsecurity/master/misc/CorpSecurity.uml,84590,46,evolya,corpsecurity,470,470,3,1308,1233,3,4
main.uml,uml/staruml/main.uml,https://raw.githubusercontent.com/joaolevada/glassbeer/master/uml/staruml/main.uml,84622,47,joaolevada,glassbeer,472,472,54,1439,1439,1,129
yonder.1.0.uml,doc/yonder.1.0.uml,https://raw.githubusercontent.com/cristianrosu/FoodCourt/master/doc/yonder.1.0.uml,86372,48,cristianrosu,FoodCourt,475,475,0,1309,1309,1,1
yafra.uml,org.yafra.models/yafra.uml,https://raw.githubusercontent.com/yafraorg/yafra/master/org.yafra.models/yafra.uml,91236,49,yafraorg,yafra,476,476,1,1300,708,144,151
my.uml,AndroidDemo/my.uml,https://raw.githubusercontent.com/artwebs/artwebsandroid/master/AndroidDemo/my.uml,93596,50,artwebs,artwebsandroid,489,489,0,1289,756,129,109
model.uml,docs/model.uml,https://raw.githubusercontent.com/andrea-colleoni/BasketStats/master/docs/model.uml,93855,51,andrea-colleoni,BasketStats,496,496,0,1330,1324,1,4
mineTerminator.uml,mineTerminator.uml,https://raw.githubusercontent.com/xiangism/mineTerminator/master/mineTerminator.uml,116929,53,xiangism,mineTerminator,522,522,0,1314,1314,1,0
jdbc.uml,Models/jdbc.uml,https://raw.githubusercontent.com/artyrian/SystemRegisterUML/master/Models/jdbc.uml,116956,54,artyrian,SystemRegisterUML,523,523,0,1296,1278,16,8
featurefilter.uml,doc/featurefilter.uml,https://raw.githubusercontent.com/iocast/featurefilter/master/doc/featurefilter.uml,116993,55,iocast,featurefilter,524,524,0,1400,1399,1,9
model.starUML.uml,model.starUML.uml,https://raw.githubusercontent.com/gre/University-nostalgia/master/model.starUML.uml,117220,56,gre,University-nostalgia,527,527,0,2239,2207,57,36
featureserver.uml,doc/featureserver.uml,https://raw.githubusercontent.com/iocast/featureserver/master/doc/featureserver.uml,117368,57,iocast,featureserver,524,524,0,1400,1399,1,258
model.uml,FirstTask/Models/model.uml,https://raw.githubusercontent.com/eupharina/OOA-P/master/FirstTask/Models/model.uml,43208,29,eupharina,OOA-P,356,356,6,1292,1292,2,23
MyrrhTrackDesign.uml,docs/track/MyrrhTrackDesign.uml,https://raw.githubusercontent.com/byon/myrrh/master/docs/track/MyrrhTrackDesign.uml,118228,58,byon,myrrh,539,539,0,2061,2061,0,198
Zuntechi_Use_Case.uml,Argo/Zuntechi_Use_Case.uml,https://raw.githubusercontent.com/Defonz/Zuntechi/master/Argo/Zuntechi_Use_Case.uml,17073,12,Defonz,Zuntechi,184,184,0,2295,1483,66,8
model.uml,GwtObserverStrategy/uml/model.uml,https://raw.githubusercontent.com/ahhess/ah/master/GwtObserverStrategy/uml/model.uml,118822,59,ahhess,ah,541,541,0,2272,2217,29,113
essexbooking.uml,docs/essexbooking.uml,https://raw.githubusercontent.com/alisomer/essexbooking/master/docs/essexbooking.uml,119505,60,alisomer,essexbooking,548,548,2,1531,1520,14,64
ArchitectureDesign.uml,Documents/ArchitectureDesign.uml,https://raw.githubusercontent.com/kaige/Rena/master/Documents/ArchitectureDesign.uml,120527,61,kaige,Rena,557,557,3,1295,1295,1,83
CompilerKit.uml,images/CompilerKit.uml,https://raw.githubusercontent.com/lawrancej/CompilerKit/master/images/CompilerKit.uml,122626,62,lawrancej,CompilerKit,568,568,2,1418,1373,322,130
ProjectMunchkin.uml,ProjectMunchkin.uml,https://raw.githubusercontent.com/angel46/project-munchkin/master/ProjectMunchkin.uml,122652,63,angel46,project-munchkin,582,582,12,1450,1443,3,19
MVC Model.uml,MVC Model/MVC Model.uml,https://raw.githubusercontent.com/jscott0918/KillerApp/master/MVC Model/MVC Model.uml,122739,64,jscott0918,KillerApp,583,583,5,1307,1288,5,163
LearnKirtan.uml,design/LearnKirtan.uml,https://raw.githubusercontent.com/gsingh93/Learn-Kirtan/master/design/LearnKirtan.uml,123346,65,gsingh93,Learn-Kirtan,593,593,0,1479,1316,100,122
PythonClassModel.uml,src/Doc/PythonClassModel.uml,https://raw.githubusercontent.com/FreeCAD/FreeCAD/master/src/Doc/PythonClassModel.uml,22310,21,FreeCAD,FreeCAD,213,213,0,1639,1639,0,6717
4prak.profile.uml,4prak.profile.uml,https://raw.githubusercontent.com/artyrian/SystemRegisterUML/master/4prak.profile.uml,116942,54,artyrian,SystemRegisterUML,523,523,0,1296,1296,1,23
Untitled.uml,components/DVRB/Doc/Untitled.uml,https://raw.githubusercontent.com/ging/isabel/master/components/DVRB/Doc/Untitled.uml,125093,66,ging,isabel,594,594,0,1656,1656,0,50
cell-defense.uml,plan/cell-defense.uml,https://raw.githubusercontent.com/ngocnv371/cell-defense/master/plan/cell-defense.uml,132561,67,ngocnv371,cell-defense,601,601,2,1284,1284,1,2
BaselineProfilesInputStream.uml,doc/BaselineProfilesInputStream.uml,https://raw.githubusercontent.com/gxa/atlas/master/doc/BaselineProfilesInputStream.uml,99307,52,gxa,atlas,509,509,0,1329,526,4327,1856
AuctionGroup.uml,docs/uml/AuctionGroup.uml,https://raw.githubusercontent.com/Torrence/AuctionExp/master/docs/uml/AuctionGroup.uml,72750,44,Torrence,AuctionExp,442,442,0,1326,1325,3,0
argos.uml,documentation/argos.uml,https://raw.githubusercontent.com/ezequieljuliano/Argos/master/documentation/argos.uml,132755,68,ezequieljuliano,Argos,602,602,0,1324,826,64,5
design.uml,extGPE-gvSIG/docs/design.uml,https://raw.githubusercontent.com/CafeGIS/gvSIG2_0/master/extGPE-gvSIG/docs/design.uml,64546,40,CafeGIS,gvSIG2_0,405,405,0,1308,1300,51,0
Test.uml,Documentation/Uml/Test.uml,https://raw.githubusercontent.com/npetalid/Promasi-V2/master/Documentation/Uml/Test.uml,161899,69,npetalid,Promasi-V2,609,609,0,2242,1025,300,67
pok.uml,scratch/tests/uml2tool/pok.uml,https://raw.githubusercontent.com/kelidas/scratch/master/scratch/tests/uml2tool/pok.uml,189970,71,kelidas,scratch,617,617,0,1466,1083,18,162
4prak.profile.uml,Task1/Models/4prak.profile.uml,https://raw.githubusercontent.com/eupharina/OOA-P/master/Task1/Models/4prak.profile.uml,43438,29,eupharina,OOA-P,356,356,0,1292,1287,8,17
Model.uml,Model/ModelDefinition/Model.uml,https://raw.githubusercontent.com/bananu7/Engine/master/Model/ModelDefinition/Model.uml,190621,72,bananu7,Engine,619,619,0,1290,1290,0,48
CompilerKitUML.uml,images/CompilerKitUML.uml,https://raw.githubusercontent.com/lawrancej/CompilerKit/master/images/CompilerKitUML.uml,122629,62,lawrancej,CompilerKit,562,562,0,1418,1372,331,121
my.uml,br.ufes.inf.sml.example/model/my.uml,https://raw.githubusercontent.com/izontm/SML/master/br.ufes.inf.sml.example/model/my.uml,192566,73,izontm,SML,623,623,0,1399,1335,7,6
diagrama sistema vendas.uml,diagrama sistema vendas.uml,https://raw.githubusercontent.com/pcego/SistemaVendas/master/diagrama sistema vendas.uml,192644,74,pcego,SistemaVendas,624,624,1,1479,1479,3,11
model.uml,appCatalog/documents/model.uml,https://raw.githubusercontent.com/CafeGIS/gvSIG2_0/master/appCatalog/documents/model.uml,56218,40,CafeGIS,gvSIG2_0,405,405,0,1308,1307,3,48
ReadingDiagram.uml,libGPE/docs/ReadingDiagram.uml,https://raw.githubusercontent.com/CafeGIS/gvSIG2_0/master/libGPE/docs/ReadingDiagram.uml,59929,40,CafeGIS,gvSIG2_0,405,405,0,1308,1307,32,19
high-level-design.uml,design/high-level-design.uml,https://raw.githubusercontent.com/mloukianov/SLK_2_4/master/design/high-level-design.uml,193894,75,mloukianov,SLK_2_4,627,627,0,1291,1291,1,1
PythonClassModel.uml,src/Doc/PythonClassModel.uml,https://raw.githubusercontent.com/mrlukeparry/freecad/master/src/Doc/PythonClassModel.uml,50808,39,mrlukeparry,freecad,213,213,0,1639,1639,0,1397
ctx.profile.uml,br.ufes.inf.ctx/model/ctx.profile.uml,https://raw.githubusercontent.com/izontm/SML/master/br.ufes.inf.ctx/model/ctx.profile.uml,192493,73,izontm,SML,623,623,0,1399,1379,6,7
Architecture.uml,documentation/Architecture.uml,https://raw.githubusercontent.com/roddevu/QXmlMoodle/master/documentation/Architecture.uml,194552,76,roddevu,QXmlMoodle,629,629,1,1476,1473,20,7
model.uml,appGazetteer/documents/model.uml,https://raw.githubusercontent.com/CafeGIS/gvSIG2_0/master/appGazetteer/documents/model.uml,56437,40,CafeGIS,gvSIG2_0,405,405,0,1308,1307,4,47
Atomics.uml,docs/UML/Atomics.uml,https://raw.githubusercontent.com/aedansilver/wowlikearcemuold/master/docs/UML/Atomics.uml,195148,77,aedansilver,wowlikearcemuold,633,633,0,1333,1333,0,2
umldiagram.uml,documentation/umldiagram.uml,https://raw.githubusercontent.com/HALTGames/ICT207Game/master/documentation/umldiagram.uml,197175,78,HALTGames,ICT207Game,635,635,7,1288,1281,34,274
model.uml,libFMap_geometries/docs/model.uml,https://raw.githubusercontent.com/CafeGIS/gvSIG2_0/master/libFMap_geometries/docs/model.uml,59094,40,CafeGIS,gvSIG2_0,405,405,0,1308,1307,27,24
PortalGraMax.uml,hfj-pl/src/r6/PortalGraMax.uml,https://raw.githubusercontent.com/hopbit/java-sandbox/master/hfj-pl/src/r6/PortalGraMax.uml,198384,80,hopbit,java-sandbox,646,646,0,1466,1302,259,41
4prak.profile.uml,FirstTask/Models/4prak.profile.uml,https://raw.githubusercontent.com/eupharina/OOA-P/master/FirstTask/Models/4prak.profile.uml,43205,29,eupharina,OOA-P,356,356,0,1292,1292,2,23
